"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","epithelium","epithelium","GDF15","TGFBR2",4.27943751244514e-08,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"2","epithelium","mesenchyme","GDF15","TGFBR2",4.27943751244514e-08,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"3","epithelium","mesenchyme","PDGFA","PDGFRB",1.06698987039621e-07,0,"PDGFA_PDGFRB","PDGFA - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"4","mesenchyme","mesenchyme","PDGFA","PDGFRB",2.12825602710139e-07,0,"PDGFA_PDGFRB","PDGFA - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"5","epithelium","mesenchyme","VEGFA","FLT1",4.27943751244514e-08,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"6","mesenchyme","mesenchyme","VEGFA","FLT1",2.13971880200653e-08,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"7","mesenchyme","mesenchyme","PGF","FLT1",2.13971880200653e-08,0,"PGF_VEGFR1","PGF - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"8","mesenchyme","mesenchyme","CXCL12","ACKR3",2.13971880200653e-08,0,"CXCL12_ACKR3","CXCL12 - ACKR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"9","epithelium","epithelium","MIF","CD74_CD44",1.48860250856928e-06,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"10","mesenchyme","epithelium","MIF","CD74_CD44",1.2179478366549e-06,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
