,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p
0,MYH11,0.0,EDNRB,0.0,DCN,0.0,CALD1,5.5008985633807354e-297,C11orf96,1.0319127541596984e-13,CDK1,4.433917719329167e-08
1,DSTN,0.0,STEAP4,1.8887233127776023e-260,FBLN1,0.0,STEAP4,4.426411258079447e-278,NEAT1,3.304570074302322e-11,MKI67,4.485664285700816e-08
2,TAGLN,0.0,TCIM,4.0990068068029893e-256,APOD,0.0,IGFBP7,5.388258418377699e-258,YBX3,4.218068665252902e-11,KNL1,4.548533287531154e-08
3,LBH,0.0,CCL2,1.761240473526005e-231,IGF1,0.0,SPARC,1.1278945170144074e-239,MTRNR2L12,3.008122593277194e-10,ANLN,4.601575903355079e-08
4,CRIP1,0.0,RGS16,3.626996223236781e-204,LUM,0.0,TMSB4X,1.021691619258553e-233,IER3,1.2043002606407324e-09,UBE2C,4.608693400474641e-08
5,BCAM,0.0,HSPA1A,9.37460249665644e-189,LTBP4,0.0,HIGD1B,3.0725431771541316e-230,TAGLN,1.3984890843925582e-09,BIRC5,4.615821569527483e-08
6,MUSTN1,0.0,HSPA1B,1.0198261145914253e-185,ALDH1A3,0.0,SEPTIN7,1.173790424656016e-222,CXCL8,2.184807575439327e-09,PBK,4.644441274695481e-08
7,TPM2,0.0,ADGRF5,1.79290585316402e-181,MMP2,0.0,GUCY1A2,1.0179957273504445e-213,RPS27,6.852082525858556e-09,DIAPH3,4.6804578868613334e-08
8,MYL6,0.0,PHLDA1,8.741412427416228e-178,SERPINF1,0.0,RGS5,1.919383612140932e-199,RPL27A,1.1998419291729524e-07,TOP2A,4.7203888828033516e-08
9,MYL9,0.0,DNAJB1,6.609474051378659e-175,PTN,0.0,CCDC102B,1.6476203890110806e-198,PTMA,1.6297673767043866e-07,PCLAF,4.7313363430284566e-08
10,PHLDA2,0.0,CEBPD,4.905936750783981e-174,SFRP1,0.0,ABCC9,1.7300590101860213e-186,CDKN1A,2.3012947330608563e-07,TUBA1B,4.8347065783950433e-08
11,MCAM,0.0,ADAMTS4,2.945656784575858e-173,LGALS3,0.0,PMEPA1,1.4932832916862535e-181,MYH11,6.165373461736729e-07,TUBB,4.887209320009093e-08
12,PLN,0.0,IRF1,2.0710173426077432e-172,ALDH1A1,0.0,NRP1,4.368721570374774e-177,PTPRC,2.4326918738581423e-06,NUSAP1,4.913667521247759e-08
13,RERGL,0.0,ABCC9,9.203118259332121e-170,SPON2,0.0,ZEB2,1.4598008060482402e-168,CRIP1,2.6038404242467712e-06,KIF11,5.0131618059638524e-08
14,FRZB,0.0,SOCS3,3.403173263201677e-167,PDGFRA,0.0,EPS8,4.0733540381243477e-162,EGR1,8.077781737344861e-06,TPX2,5.126440115858828e-08
15,MT-CO1,0.0,CCDC102B,9.716194629929212e-164,SPOCK3,0.0,LHFPL6,1.8525166426392493e-155,KRT17,1.2847432283582303e-05,TK1,5.150184823465073e-08
16,GADD45B,0.0,CTSC,1.8910226738130335e-159,PTGDS,0.0,DLC1,1.7393722368389538e-154,CCL5,1.624615823467259e-05,STMN1,5.4940147062235466e-08
17,ADIRF,0.0,DNAJA1,8.116523016829637e-159,MGST1,0.0,GUCY1A1,5.244802156813788e-153,JUND,2.1716369945460547e-05,MAD2L1,7.523353641626522e-08
18,NET1,0.0,HGF,2.443076320852348e-152,CFD,0.0,TXNIP,1.0619297415734603e-150,MUSTN1,5.0283388306488085e-05,PRC1,8.19807815064137e-08
19,MAP3K20,0.0,TMSB4X,3.440768636565193e-151,GSN,0.0,COL3A1,1.3978221522705176e-148,ADAMTS4,5.262880419487959e-05,ECT2,8.884030404680205e-08
20,PCP4,0.0,MYC,1.2820007762172355e-148,RNASET2,0.0,COX4I2,2.6848458682399e-142,THBS1,6.897500037868753e-05,CKAP2,8.917722820823565e-08
21,MYLK,0.0,GJA4,2.9772527957688825e-148,CST3,0.0,PDGFRB,3.9376581195853973e-141,CD52,7.801702626962442e-05,PTTG1,8.931234397766921e-08
22,NDUFA4,0.0,PPP1R15A,5.041546816389801e-146,MXRA8,0.0,NDUFA4L2,4.685149224925541e-139,EIF1,0.00010162575828051232,CKS1B,1.0497427285687778e-07
23,TMEM38B,0.0,SLC2A3,7.848201116385402e-146,HELLPAR,0.0,ITGB1,5.437413313832132e-138,B2M,0.00011188539219697688,TMSB15A,1.1073474866059834e-07
24,TBC1D1,0.0,HSPD1,2.2577318876295073e-143,OLFML3,0.0,ARHGDIB,1.9153750238465405e-134,CLDN4,0.00011525987311332528,SMC4,1.1715173633117835e-07
25,FLNA,0.0,EPAS1,1.292935464472852e-142,MIR99AHG,0.0,EPB41L2,2.0770085371058864e-133,PPP1R15A,0.00016217950078236732,H2AFZ,1.4892068276498936e-07
