,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p
0,STEAP4,0.0,MYH11,0.0,FBLN1,0.0,KLK3,3.2636799329587847e-74,CLU,1.1543649007920597e-75,EEF1A1,3.359766884624464e-58,NEAT1,1.1893478507674816e-41,APOD,1.5258726883025524e-32,KLK3,9.142814896614069e-26,BUB1B,4.4350517782340183e-08
1,CCDC102B,0.0,DSTN,0.0,DCN,0.0,RPS29,9.391990361053606e-72,LTBP1,5.760860883296387e-71,RPS27A,2.975390442397579e-57,MTRNR2L12,4.576886425056742e-41,DCN,1.1608632167454743e-28,ACPP,1.2727267387739509e-25,TOP2A,4.441416564512039e-08
2,ABCC9,0.0,MUSTN1,0.0,IGF1,0.0,TFF3,1.3534948374822806e-54,LPP,4.8918125613071775e-64,TMSB4X,2.550022452909381e-51,CXCL8,4.621347610437173e-20,LUM,9.364736189566476e-23,KLK2,4.7366663963317746e-24,CDK1,4.48621868043051e-08
3,TMSB4X,0.0,BCAM,0.0,APOD,0.0,CCL5,4.98788534048478e-52,NNMT,1.731511633434831e-62,RPS12,1.0071270337095246e-49,PLCG2,1.7056391674210602e-17,CFH,1.1340864907384375e-20,TFF3,7.841014597878028e-24,KNL1,4.495875978826615e-08
4,NRP1,0.0,CRIP1,0.0,LUM,0.0,HSP90AA1,4.010041405890147e-50,NEAT1,3.1440040558727347e-62,RPS3A,1.4962545294014838e-49,THBS1,4.24759696567707e-15,GSN,2.0721632833239455e-19,H2AFJ,1.4463594786958664e-23,MKI67,4.515251075047187e-08
5,EDNRB,0.0,LBH,0.0,LTBP4,0.0,CXCR4,1.9450618955813364e-47,MT-CYB,5.310684751193483e-58,TPT1,4.730230359650068e-49,YBX3,7.385948758090566e-15,ABCA8,2.319103940964299e-19,FABP5,1.5556051323001586e-23,ANLN,4.531458801800911e-08
6,ADGRF5,0.0,TAGLN,0.0,ALDH1A3,0.0,ANXA1,2.8857180972416583e-47,VIM,1.8408667943980072e-57,RPLP1,2.1900557621669952e-48,IER3,1.9081753459324833e-13,PTGDS,2.986436150364844e-19,GDF15,9.110434131931752e-23,NUF2,4.534707108546426e-08
7,SPARC,0.0,PHLDA2,0.0,MMP2,0.0,HSPA1A,1.4067012052120213e-44,MYH11,3.0996589433831167e-56,RPL13,6.434272668514025e-48,CDKN1A,3.4670477557552606e-13,PI16,1.9744954625270547e-17,PLA2G2A,1.1656515545192883e-20,UBE2C,4.550982532584372e-08
8,GUCY1A2,0.0,MYL6,0.0,PTN,0.0,HSPA8,1.668085175143041e-43,PLN,6.207139751639369e-56,RPS4X,1.9494175276777144e-45,RPS27,8.971190075682809e-12,CYP1B1,6.9342838588183e-17,CCL4,3.645896140827342e-20,BIRC5,4.5705878006706244e-08
9,EPS8,0.0,MYL9,0.0,SFRP1,0.0,RPS26,2.1322122394199864e-43,EDIL3,5.992106266032766e-55,RPL3,3.8251814829442273e-44,C11orf96,1.6045940454954627e-11,NRP2,1.2943512479115534e-14,RDH11,1.1552419473923458e-19,PBK,4.580421113992677e-08
