,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p
0,MYH11,0.0,EDNRB,0.0,FBLN1,0.0,CALD1,3.287936857697405e-282,CLU,1.1237532172148022e-75,APOD,6.993566078533139e-34,MKI67,4.4143904551501316e-08
1,DSTN,0.0,TCIM,1.0779627608626564e-265,DCN,0.0,TMSB4X,1.2804201828951595e-257,LTBP1,6.954893270238967e-70,DCN,3.401885870467201e-29,TOP2A,4.424759660013461e-08
2,CRIP1,0.0,STEAP4,7.597782968437468e-261,IGF1,0.0,IGFBP7,3.8101416368125794e-250,LPP,1.9801501989160563e-63,LUM,1.9915095487021214e-22,CDK1,4.431685577980109e-08
3,MUSTN1,0.0,CCL2,2.7846785004165106e-227,APOD,0.0,STEAP4,1.4351790845630975e-245,NEAT1,2.4274264092533558e-63,CFH,8.236694766345136e-20,BUB1B,4.445568958532698e-08
4,LBH,0.0,PHLDA1,2.9187383206957174e-217,LUM,0.0,SEPTIN7,5.501376200048332e-217,NNMT,1.665392117144739e-60,CYP1B1,2.9353294532418718e-18,NUSAP1,4.459494501451277e-08
5,BCAM,0.0,RGS16,6.41440205753879e-202,LTBP4,0.0,SPARC,3.1373211527467814e-174,MT-CYB,6.54394840998763e-60,ABCA8,3.724892672837832e-18,KNL1,4.49449363209376e-08
6,PHLDA2,0.0,CCDC102B,1.1727915319776453e-198,ALDH1A3,0.0,ABCC9,9.245664229154892e-172,MYH11,2.5392155028734923e-55,GSN,3.7716551770864305e-18,STMN1,4.536844187657773e-08
7,TAGLN,0.0,ADGRF5,6.861451014776106e-194,MMP2,0.0,CCDC102B,2.11408771859372e-167,PLN,4.109989189164052e-55,PTGDS,6.576143857662844e-18,ANLN,4.5510468181306045e-08
8,MYL6,0.0,HSPA1A,1.1838627616085793e-190,PTN,0.0,HIGD1B,2.1391310296920416e-166,EDIL3,1.9541896747591254e-53,PI16,1.6938073063110353e-16,NUF2,4.554604205049776e-08
9,MYL9,0.0,HSPA1B,1.1061543512537093e-188,SFRP1,0.0,NRP1,2.141928937053069e-162,ACTG2,5.211497176797659e-53,IFI27,3.915478570546521e-14,BIRC5,4.558164287633075e-08
10,TPM2,0.0,DNAJB1,1.136019563245618e-180,SERPINF1,0.0,GUCY1A2,1.6439189750661485e-161,VIM,1.8938865001481535e-52,PDGFRL,5.2282477447372026e-14,UBE2C,4.572431614114509e-08
11,FRZB,0.0,TMSB4X,6.134256712440222e-180,LGALS3,0.0,TXNIP,2.973606354686594e-159,MT-CO1,7.481341778551063e-52,PRELP,1.0309244651396181e-13,DIAPH3,4.5831605103289474e-08
12,MAP3K20,0.0,PPP1R15A,3.8045815332989167e-177,SPON2,0.0,LHFPL6,4.734741289468193e-157,ADIRF,7.952568768165282e-50,NRP2,1.0839999145901059e-13,PBK,4.604691566864271e-08
13,HOPX,0.0,GJA4,5.740521046406963e-177,ALDH1A1,0.0,ZEB2,9.20617599555025e-151,NTRK2,8.994917351813924e-50,CLDN1,1.8444258433068702e-13,TPX2,4.604691566864271e-08
14,RERGL,0.0,ABCC9,8.666883002406412e-177,PDGFRA,0.0,GUCY1A1,1.4590487979543211e-149,TAGLN,2.5136131117907505e-49,NDRG1,7.236738485421819e-13,NCAPG,4.706473178027033e-08
