,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p
0,MYH11,8.894828282759633e-222,SLC2A3,3.717726951950486e-90,FBLN1,2.386178983707744e-147,IGFBP7,9.368222967345094e-120,MT-ND5,1.3954948700867743e-12,APOD,3.163898005830464e-09,NUSAP1,2.1796408001940135e-07
1,DSTN,1.4569358537039754e-192,PABPC1,1.9372576108234922e-89,DCN,3.409366271942722e-129,CALD1,3.1237369917759496e-106,MT-CYB,1.9702810877522357e-12,DCN,3.788353733901121e-09,BUB1B,2.1796408001940135e-07
2,TAGLN,1.0443291152219177e-175,RGS16,6.373203132515859e-78,LUM,4.69602276497318e-125,STEAP4,3.584549430750309e-105,MT-ND2,2.8479439422743754e-12,CFH,6.2816051466012574e-09,MKI67,2.1796408001940135e-07
3,MUSTN1,1.1284115197929393e-170,ANKRD10,9.551603043181225e-73,IGF1,1.4472177428231527e-119,ABCC9,2.0461129787167933e-99,MT-ND1,5.476861571339507e-12,CLDN1,7.927029976293694e-09,TOP2A,2.1863241175761166e-07
4,TPM2,1.1241555711916166e-143,PPP1R15A,2.0410239406805088e-70,LTBP4,5.0808660658983324e-107,SEPTIN7,2.311560157309639e-97,MT-ND4,2.8200793288362935e-11,LUM,1.4232237955286321e-08,STMN1,2.1997502094797932e-07
5,BCAM,1.2082860746533072e-140,MARCKS,3.489579766023306e-68,MMP2,5.03423668542406e-101,HIGD1B,2.2027924494666467e-91,MT-ATP6,5.595513874287206e-11,PTGDS,2.4669016488193748e-08,CDK1,2.2132559548112998e-07
6,LBH,1.4194613518623555e-132,ID3,8.58880702178995e-68,APOD,6.842789455983903e-100,LHFPL6,2.4947267278429292e-90,MT-CO1,3.098128263257535e-10,GSN,3.689609741356688e-08,UBE2C,2.2336649186667175e-07
7,CRIP1,2.161400116614671e-132,RGS5,2.9055097289487936e-66,ALDH1A3,9.978203419982052e-97,CST3,1.2072667994757867e-85,SLC38A2,1.924822253078141e-09,PI16,4.519839102119212e-08,NUF2,2.240508227676501e-07
8,MYL9,5.790722771171403e-122,GEM,6.592235329744727e-65,SPON2,1.8233398768346299e-96,TMSB4X,2.246934525418376e-83,MT-CO2,7.151136962967861e-09,SERPINF1,1.5616189760414256e-07,ANLN,2.2473717930167568e-07
9,PHLDA2,9.202192104314581e-121,SOCS3,5.570260425138345e-64,LGALS3,3.8329738295750274e-89,NRP1,5.770729274310422e-79,MT-ND3,8.569712833828542e-09,TCF4,1.6720761516536024e-07,BIRC5,2.2611599237117477e-07
10,PLN,1.9894709797092678e-119,IRF1,7.270176997861253e-63,SFRP1,6.322713856591122e-86,CD59,1.6779743897388647e-69,MT-CO3,1.0965195146507239e-07,MXRA8,1.7243271436848325e-07,TPX2,2.2889818111680008e-07
11,MYL6,2.740283215735461e-117,FOSB,4.7288626120461455e-61,SERPINF1,1.1771424925565998e-85,FAM13C,5.168846579328274e-69,ZBTB16,2.198346596614121e-07,SPTBN1,1.9915366687242834e-07,CENPF,2.303016502793628e-07
12,HOPX,9.16844660812098e-117,COL4A1,9.451288881726655e-59,EMILIN1,7.328586305439522e-77,EPB41L2,8.24361270562396e-68,MALAT1,3.858238546047308e-07,SCN7A,2.9260452703332585e-07,KNL1,2.303016502793628e-07
13,MAP3K20,3.498000505693947e-110,CCL2,7.65458906773712e-58,MXRA8,7.871097189472733e-77,GAS6,5.48889390426035e-67,MTRNR2L12,4.0175869485353815e-07,GLUL,3.14497509116057e-07,PBK,2.3889869759080886e-07
14,RERGL,1.9632636909423389e-109,GJA4,1.0423221046444611e-57,PDGFRA,6.166732729180093e-76,CCDC102B,4.489887684092079e-66,SRRM2,4.479086372364163e-07,DDIT4,4.233404933650139e-07,TUBA1B,2.3889869759080886e-07
15,NDUFA4,2.2482218264096923e-109,TCIM,4.362723288405617e-54,MGP,2.564342150750384e-73,TXNIP,5.4422274555897415e-64,NEAT1,5.290072014717493e-07,PRELP,5.138979264210532e-07,DIAPH3,2.403613591914597e-07
16,TMEM38B,7.063047134020507e-103,FOS,1.26205772814269e-53,MRC2,5.50788680469074e-70,ARHGDIB,7.0936178784353e-64,JAG1,5.587545932080946e-07,S100A13,5.172174130831194e-07,NCAPG,2.493207064046857e-07
17,NET1,6.276369023485328e-100,EIF4A1,1.8665032289104145e-53,SPOCK3,1.5225225472850944e-69,GGT5,1.1951725634612792e-62,DST,1.0820278628239014e-06,FCGRT,5.761750286169168e-07,KIF11,2.516104580118641e-07
18,FRZB,2.6409165872825753e-99,SPARC,4.2621160785608475e-53,C7,2.220512356830304e-68,GUCY1A1,2.082594204842949e-61,UTRN,2.1138729206990917e-06,ABLIM1,1.5446757890812431e-06,TUBB,2.5237821281379915e-07
19,RGCC,2.8726133690230325e-98,CYTOR,4.40077575665436e-53,SFRP2,5.064105852145279e-64,HLA-B,3.95643507826803e-61,AKAP13,2.180463256553679e-06,CYP1B1,2.287402444910473e-06,ASPM,2.6336731637629424e-07
20,SOD3,9.649951747692141e-98,ADAMTS1,6.90246477751932e-52,OGN,7.459532977853855e-64,PMEPA1,7.939665522385504e-61,MT-ND4L,2.3870046066093845e-06,ABCA8,3.6785298426133828e-06,PTTG1,2.6903377865323526e-07
21,RAMP1,3.97225578184933e-97,EPAS1,5.983023985600333e-51,TCF21,3.3516288894862354e-62,PTMS,3.5643434155628073e-59,PNISR,3.317105019047677e-06,TXNIP,3.932585210294403e-06,TK1,2.8501409840361535e-07
22,MT-CO1,4.634276921607845e-96,COL4A2,2.2862549749930956e-50,OLFML3,1.3014772185498696e-60,ADGRF5,4.8772220164809405e-59,MACF1,6.5220921346149606e-06,CSTB,4.5240858479120745e-06,HMGN2,2.893694859152929e-07
23,GADD45B,8.720973046928954e-90,CCNL1,6.759963137298604e-49,MGST1,1.6790805545024268e-60,CPE,1.260979748036399e-58,NKTR,2.3162302116088073e-05,OGN,4.556333759859099e-06,PCLAF,3.0282473286966066e-07
24,MCAM,6.417511627911953e-87,JUNB,4.7124134341253716e-48,TIMP1,1.1320686994798264e-59,GUCY1A2,4.528982422330765e-58,USP34,2.8851862342797117e-05,KCTD12,6.057095121985182e-06,CKS1B,3.1024585861554083e-07
25,CRYAB,8.770229049027928e-84,NID1,7.371137884401028e-48,MATN2,2.741230664614947e-59,THY1,6.619698513344471e-58,FTX,3.7151184194577705e-05,NDRG1,7.556063005414866e-06,SMC4,3.275909449902971e-07
26,ADIRF,5.776699615861398e-83,ADAMTS4,9.69750550346958e-48,NFIC,6.571343686248014e-59,PROCR,1.1294173131682613e-57,HNRNPH1,0.00010628759830947428,LTBP4,7.724101793271518e-06,CKAP2,3.31570633158608e-07
27,ACTA2,4.221471877265997e-82,EDNRB,6.380868353983782e-47,SFRP4,6.493404242515482e-58,KCNJ8,2.307923477275207e-56,TNS1,0.00012149655183089038,FMO2,9.288036296829903e-06,PRC1,3.325728242161882e-07
28,C11orf96,8.57858542847806e-82,ING1,1.1806654073518988e-46,HSD11B1,1.1179891501506557e-57,IGFBP2,8.629199505653152e-55,PDGFRB,0.0001654074441972093,VIT,9.362941501657384e-06,MAD2L1,3.325728242161882e-07
29,FILIP1,2.565422234278717e-78,PHLDA1,4.6685826273882786e-46,PLXDC2,5.879516728566043e-57,PPP1R14A,1.7343655740945623e-53,MYLK,0.0001927169151206034,ALDH1A1,1.0029092954012285e-05,ECT2,3.740220318888475e-07
30,CAP2,4.1321208753705495e-78,IER3,1.3702959426335437e-45,IGFBP5,9.217083386141803e-57,COX4I2,1.0274156293707167e-52,ARID1B,0.00019574258099423956,NRP2,1.671770793596304e-05,H2AFZ,3.7627683949525064e-07
31,MYLK,2.7135332283739562e-76,EIF1,2.6974064171267584e-44,TNFSF10,1.3324188029118365e-56,CTSC,4.2905062650350954e-52,SON,0.00020343996492267114,IFI27,2.0649337122676676e-05,TMSB15A,5.480903436916648e-07
32,LTBP1,1.7777266422983907e-73,KLF6,2.756633707211047e-44,PTN,3.5311011775667845e-56,CD81,9.376897789458804e-52,CLMN,0.00022940253800438117,C1S,2.1251377934003788e-05,HMGB2,5.612416008970052e-07
33,PTMA,1.9570806384648045e-73,S1PR3,6.534722908802306e-44,COL1A2,6.1664482659507955e-55,DLC1,1.2166179791542646e-49,EPAS1,0.0002727342119710896,RND3,2.3596330361247733e-05,KIF20B,5.713041569572315e-07
34,AOC3,1.2583782355364773e-71,KCNE4,8.206854652341459e-44,FN1,8.40785194124783e-55,IMPA2,1.747412755283382e-48,SYNE1,0.0003954330409977453,PDGFRL,2.4014738462393558e-05,HMGB1,6.097093261355329e-07
35,TBC1D1,2.2782511413902344e-69,DNAJA1,9.881126748478547e-44,SAT1,1.0931701981373456e-54,FILIP1L,3.7986732047117687e-48,DDX17,0.0004154484842047313,OMD,2.5647504251842877e-05,GGH,6.720194336035826e-07
36,FLNA,2.1134633714621715e-68,ZFP36,1.5460879480367049e-43,RORB,1.0978665729479533e-54,CD99,4.7247013845241447e-48,SFPQ,0.0004364069743323861,IGF1,3.1921159840466426e-05,CENPH,7.064695814014783e-07
37,CDKN1A,5.889516563006613e-68,TMSB4X,6.237860643394272e-43,PRNP,1.5773872818139786e-54,EPS8,6.553098059494709e-48,SMG1,0.00043821896044906613,ECHDC2,3.240855559151633e-05,NCAPD2,7.253904867644252e-07
38,SYNE2,6.689337193652108e-68,CEBPB,3.3851097466714006e-42,ALDH1A1,1.3206913346638261e-53,NR2F2,3.205902366610003e-47,N4BP2L2,0.00045350500717091506,SERPING1,3.3694531326153843e-05,SMC2,8.54562827035244e-07
39,YBX3,1.2036310335779025e-65,MCL1,9.203772681381673e-42,LRP1,3.2250942641715788e-53,TAGLN2,3.3007241371198227e-47,ZMYM2,0.0004679070144796065,CALCRL,3.442975597031712e-05,H2AFV,1.2598194224943184e-06
40,NUDT4,3.142150953138674e-63,STAT3,2.868457851189023e-41,NPC2,4.291374608127629e-52,MYL12B,4.921307624774375e-47,SPEN,0.0005032858783658709,RBMS3,3.821697475035989e-05,RAN,1.373126053434107e-06
