cluster_1,,Other,Other,Other,Other,basal,basal,basal,basal,fibroblasts,fibroblasts,fibroblasts,fibroblasts,luminal,luminal,luminal,luminal
cluster_2,,Other,basal,fibroblasts,luminal,Other,basal,fibroblasts,luminal,Other,basal,fibroblasts,luminal,Other,basal,fibroblasts,luminal
source,target,,,,,,,,,,,,,,,,
RGS2,TRPV6,0,0,0.09600066393613815,0.11027842015028,0,0,0,0,0,0,0,0,0,0,0,0
IGF1,NTRK2,0,0,0,0,0,0,0,0,0,0,1.4351180791854858,0,0,0,0,0
EGF,NTRK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3663203716278076,0
NGF,NTRK2,0,0,0,0,0,0,0,0,0,0,0.6281165480613708,0,0,0,0,0
CSF1,NTRK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF,NTRK2,0,0,0,0,0,0,0.77168208360672,0,0,0,0.5624902248382568,0,0,0,0,0
AREG,NTRK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDGFA,NTRK2,0,0,0,0,0,0,1.2179913520812988,0,0,0,0,0,0,0,0,0
PDGFB,NTRK2,0,0,0.5676792860031128,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT2,NTRK2,0,0,0,0,0,0,0,0,0,0,0.5211543440818787,0,0,0,0,0
ANGPT1,NTRK2,0,0,0,0,0,0,0,0,0,0,0.688386857509613,0,0,0,0,0
ANGPT4,NTRK2,0,0,0,0,0,0,0,0,0,0,0.6291073560714722,0,0,0,0,0
BDNF,NTRK2,0,0,0,0,0,0,0,0,0,0,0.5267823338508606,0,0,0,0,0
EREG,NTRK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEGFD,NTRK2,0,0,0,0,0,0,0,0,0,0,0.8140339851379395,0,0,0,0,0
FGF5,NTRK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF23,NTRK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGF,NTRK2,0,0,0,0,0,0,0.8090395331382751,0,0,0,0.7956628799438477,0,0,0,0,0
BDNF,GRIN2A,0,0,0,0,0,0,0,0,0,0,0.027730148285627365,0,0,0,0,0
ANXA1,GRIN2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFNG,GRIA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDNF,GRIA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTS,GRIA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGALS9,PTPRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGALS1,PTPRC,0.4041025638580322,0,0,0,0,0,0,0,0.8890074491500854,0,0,0,0,0,0,0
NID1,PTPRF,0,0,0,0,0,0,0,0,0,0.8801639080047607,0,0.6601789593696594,0,0,0,0
CD80,CTLA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD8A,LAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLN1,ITGB1,0,0,0.17864994704723358,0,0,0,0,0,0,0,0,0,0,0,0,0
CSF2,ITGB1,0,0,0.11169587075710297,0,0,0,0,0,0,0,0,0,0,0,0,0
HGF,ITGB1,0,0,0,0,0,0,0.3234404921531677,0,0,0,0.1142486110329628,0,0,0,0,0
ANGPT1,ITGB1,0,0,0,0,0,0,0,0,0,0,0.2401452660560608,0,0,0,0,0
MDK,ITGB1,0,0,0,0,0,0,0,0,0,0,0.4834845960140228,0,0,0,0,0
FLT4,ITGB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CXCL12,ITGB1,0,0,0,0,0,0,0.18379420042037964,0,0,0,0.5850539207458496,0,0,0,0,0
VEGFD,ITGB1,0,0,0,0,0,0,0,0,0,0,0.3657924234867096,0,0,0,0,0
RELN,ITGB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTN,ITGB1,0,0,0,0,0,0,0,0,0,0,0.9196797013282776,0,0,0,0,0
