cluster_1,,Epithelium,Epithelium,Epithelium,Other,Other,Other,Stroma,Stroma,Stroma
cluster_2,,Epithelium,Other,Stroma,Epithelium,Other,Stroma,Epithelium,Other,Stroma
source,target,,,,,,,,,
RGS2,TRPV6,0,0,0,0,0,0,0,0,0
IGF1,NTRK2,0,0,0,0,0,0,0,0,1.3894683122634888
EGF,NTRK2,0,0,0.7620388269424438,0,0,0,0,0,0
NGF,NTRK2,0,0,0,0,0,0,0,0,0.7989847660064697
CSF1,NTRK2,0,0,0,0,0,0,0,0,0.7311322093009949
HGF,NTRK2,0,0,0.7222303748130798,0,0,0,0,0,1.2756091356277466
AREG,NTRK2,0,0,0,0,0,0,0,0,0
PDGFA,NTRK2,0,0,0.857743501663208,0,0,0.7186718583106995,0,0,1.1211844682693481
PDGFB,NTRK2,0,0,0,0,0,1.0208545923233032,0,0,0
ANGPT2,NTRK2,0,0,0,0,0,0,0,0,0.9456223249435425
ANGPT1,NTRK2,0,0,0,0,0,0,0,0,1.0349531173706055
ANGPT4,NTRK2,0,0,0,0,0,0,0,0,0.789264440536499
BDNF,NTRK2,0,0,0,0,0,0,0,0,0.7167072892189026
EREG,NTRK2,0,0,0,0,0,0,0,0,0
VEGFD,NTRK2,0,0,0,0,0,0,0,0,0.7528435587882996
FGF5,NTRK2,0,0,0,0,0,0,0,0,0
FGF23,NTRK2,0,0,0,0,0,0,0,0,0
PGF,NTRK2,0,0,0,0,0,0,0,0,1.0760829448699951
BDNF,GRIN2A,0,0,0,0,0,0,0,0,0.08253083378076553
ANXA1,GRIN2A,0,0,0,0,0,0,0,0,0
IFNG,GRIA1,0,0,0,0,0,0.0688023790717125,0,0,0
BDNF,GRIA1,0,0,0,0,0,0,0,0,0.10472680628299713
NTS,GRIA1,0,0,0,0,0,0,0,0,0.06715665757656097
LGALS9,PTPRC,0,0,0,0,0,0,0,0.3953306972980499,0
LGALS1,PTPRC,0,0,0,0,0,0,0,0.8045499920845032,0
NID1,PTPRF,0,0,0,0,0,0,1.3666828870773315,0,0
CD80,CTLA4,0,0,0,0,0,0,0,0,0
CD8A,LAT,0,0,0,0,0,0,0,0,0
TLN1,ITGB1,0,0,0,0,0.3088342547416687,0.7583581805229187,0,0.24650323390960693,0.6960271596908569
