cluster_1,,Epithelium,Epithelium,Epithelium,Other,Other,Other,Stroma,Stroma,Stroma
cluster_2,,Epithelium,Other,Stroma,Epithelium,Other,Stroma,Epithelium,Other,Stroma
source,target,,,,,,,,,
RGS2,TRPV6,0,0,0,0,0,0,0,0,0
IGF1,NTRK2,0,0,0,0,0,0,0,0,1.3230822086334229
EGF,NTRK2,0,0,1.1166691780090332,0,0,0,0,0,0
NGF,NTRK2,0,0,0,0,0,0,0,0,0.92624831199646
CSF1,NTRK2,0,0,0,0,0,0,0,0,0.9854347705841064
HGF,NTRK2,0,0,0,0,0,0,0,0,1.2348793745040894
AREG,NTRK2,0,0,0,0,0,0,0,0,0
PDGFA,NTRK2,0,0,1.0200576782226562,0,0,0,0,0,0.8146235942840576
PDGFB,NTRK2,0,0,0,0,0,0.8074009418487549,0,0,0
ANGPT2,NTRK2,0,0,0,0,0,0.7622852921485901,0,0,0.8197816610336304
ANGPT1,NTRK2,0,0,0.792914628982544,0,0,0,0,0,1.2006983757019043
ANGPT4,NTRK2,0,0,0,0,0,0,0,0,1.187480092048645
BDNF,NTRK2,0,0,0,0,0,0,0,0,0.794589638710022
EREG,NTRK2,0,0,0,0,0,0,0,0,0
VEGFD,NTRK2,0,0,0,0,0,0,0,0,1.056083083152771
FGF5,NTRK2,0,0,0,0,0,0,0,0,0
FGF23,NTRK2,0,0,0,0,0,0,0,0,0.7618837952613831
PGF,NTRK2,0,0,0,0,0,0,0,0,1.0023691654205322
BDNF,GRIN2A,0,0,0,0,0,0,0,0,0.059483565390110016
ANXA1,GRIN2A,0,0,0.011915374547243118,0,0,0,0,0,0.02428380213677883
IFNG,GRIA1,0,0,0,0,0,0.30458569526672363,0,0,0
BDNF,GRIA1,0,0,0,0,0,0,0,0,0.28004318475723267
NTS,GRIA1,0,0,0,0,0,0.22941619157791138,0,0,0
LGALS9,PTPRC,0,0,0,0,0,0,0,0.47315728664398193,0
LGALS1,PTPRC,0,0,0,0,0,0,0,0.9007782936096191,0
NID1,PTPRF,0,0,0,0,0,0,1.2321736812591553,0,0
CD80,CTLA4,0,0,0,0,0,0,0,0,0
CD8A,LAT,0,0,0,0,0.24245397746562958,0,0,0,0
