cluster_1,,Epithelium,Epithelium,Epithelium,Other,Other,Other,Stroma,Stroma,Stroma
cluster_2,,Epithelium,Other,Stroma,Epithelium,Other,Stroma,Epithelium,Other,Stroma
source,target,,,,,,,,,
RGS2,TRPV6,0,0,0,0,0,0,0,0,0
IGF1,NTRK2,0,0,0,0,0,0,0,0,0.9846433997154236
EGF,NTRK2,0,0,0,0,0,0,0,0,0
NGF,NTRK2,0,0,0,0,0,0,0,0,0.5352702140808105
CSF1,NTRK2,0,0,0,0,0,0,0,0,0.4601786434650421
HGF,NTRK2,0,0,0.42895740270614624,0,0,0,0,0,1.1385809183120728
AREG,NTRK2,0,0,0,0,0,0,0,0,0
PDGFA,NTRK2,0,0,0.7550015449523926,0,0,0,0,0,0
PDGFB,NTRK2,0,0,0,0,0,0.47686442732810974,0,0,0
ANGPT2,NTRK2,0,0,0,0,0,0,0,0,0
ANGPT1,NTRK2,0,0,0,0,0,0,0,0,1.800724983215332
ANGPT4,NTRK2,0,0,0,0,0,0,0,0,0.5428253412246704
BDNF,NTRK2,0,0,0,0,0,0,0,0,0.38604995608329773
EREG,NTRK2,0,0,0,0,0,0,0,0,0
VEGFD,NTRK2,0,0,0,0,0,0,0,0,0.3976043462753296
FGF5,NTRK2,0,0,0,0,0,0,0,0,0
FGF23,NTRK2,0,0,0,0,0,0,0,0,0.35898101329803467
PGF,NTRK2,0,0,0.427417516708374,0,0,0,0,0,1.179319143295288
BDNF,GRIN2A,0,0,0,0,0,0,0,0,0.11004345118999481
ANXA1,GRIN2A,0,0,0.19679483771324158,0,0,0,0,0,0.28672686219215393
IFNG,GRIA1,0,0,0,0,0,0.11685428023338318,0,0,0
BDNF,GRIA1,0,0,0,0,0,0,0,0,0.04785604774951935
NTS,GRIA1,0,0,0,0,0,0,0,0,0.020394576713442802
LGALS9,PTPRC,0,0,0,0,0,0,0,0.20036856830120087,0
LGALS1,PTPRC,0,0,0,0,0,0,0,0.7695108652114868,0
NID1,PTPRF,0,0,0,0,0,0,1.0659505128860474,0,0
CD80,CTLA4,0,0,0,0,0,0,0,0,0
CD8A,LAT,0,0,0,0,0,0,0,0,0
TLN1,ITGB1,0,0,0,0,0,0,0,0,0
CSF2,ITGB1,0,0,0,0.28202489018440247,0.020420724526047707,0.1775246560573578,0,0,0
