cluster_1,,Epithelium,Epithelium,Epithelium,Other,Other,Other,Stroma,Stroma,Stroma
cluster_2,,Epithelium,Other,Stroma,Epithelium,Other,Stroma,Epithelium,Other,Stroma
source,target,,,,,,,,,
RGS2,TRPV6,0,0,0,0.17950589954853058,0,0,0,0,0
IGF1,NTRK2,0,0,0,0,0,0,0,0,1.7917273044586182
EGF,NTRK2,0,0,0.840903103351593,0,0,0,0,0,0
NGF,NTRK2,0,0,0,0,0,0,0,0,1.1668405532836914
CSF1,NTRK2,0,0,0,0,0,0,0,0,1.719594955444336
HGF,NTRK2,0,0,0,0,0,0,0,0,1.0389494895935059
AREG,NTRK2,0,0,0,0,0,0,0,0,0
PDGFA,NTRK2,0,0,0.7316147089004517,0,0,0,0,0,0
PDGFB,NTRK2,0,0,0,0,0,0.8551670908927917,0,0,0
ANGPT2,NTRK2,0,0,0,0,0,0.7776082754135132,0,0,0.7542006373405457
ANGPT1,NTRK2,0,0,0,0,0,0,0,0,1.101581335067749
ANGPT4,NTRK2,0,0,0,0,0,0,0,0,1.1368926763534546
BDNF,NTRK2,0,0,0,0,0,0,0,0,0.7840437889099121
EREG,NTRK2,0,0,0,0,0,0,0,0,0
VEGFD,NTRK2,0,0,0,0,0,0,0,0,1.5072327852249146
FGF5,NTRK2,0,0,0,0,0,0,0,0,0
FGF23,NTRK2,0,0,0,0,0,0,0,0,0
PGF,NTRK2,0,0,0,0,0,0,0,0,1.136973261833191
BDNF,GRIN2A,0,0,0,0,0,0,0,0,0.12010568380355835
ANXA1,GRIN2A,0,0,0,0,0,0,0,0,0.2700817584991455
IFNG,GRIA1,0,0,0,0,0,0.2614050805568695,0,0,0
BDNF,GRIA1,0,0,0,0,0,0,0,0,0.2111615091562271
NTS,GRIA1,0,0,0,0,0,0,0,0,0
LGALS9,PTPRC,0,0,0,0,0.2725207805633545,0,0,0.27536824345588684,0
LGALS1,PTPRC,0,0,0,0,0,0,0,0.6438666582107544,0
NID1,PTPRF,0,0,0,0,0,0,1.210034966468811,0,0
CD80,CTLA4,0,0,0,0,0,0,0,0,0
CD8A,LAT,0,0,0,0,0,0,0,0,0
TLN1,ITGB1,0,0,0,0,0.29906347393989563,0.38354164361953735,0,0,0
