cluster_1,,Epithelium,Epithelium,Epithelium,Other,Other,Other,Stroma,Stroma,Stroma
cluster_2,,Epithelium,Other,Stroma,Epithelium,Other,Stroma,Epithelium,Other,Stroma
source,target,,,,,,,,,
RGS2,TRPV6,0,0,0,0.2514418661594391,0,0,0,0,0
IGF1,NTRK2,0,0,0,0,0,0,0,0,1.542288064956665
EGF,NTRK2,0,0,0,0,0,0,0,0,0
NGF,NTRK2,0,0,0,0,0,0,0,0,0.7128756046295166
CSF1,NTRK2,0,0,0,0,0,0,0,0,0.9369494915008545
HGF,NTRK2,0,0,0,0,0,0,0,0,0.9867159128189087
AREG,NTRK2,0,0,0,0,0,0,0,0,0
PDGFA,NTRK2,0,0,0.9094384908676147,0,0,0,0,0,0.6318222284317017
PDGFB,NTRK2,0,0,0.5943341255187988,0,0,0.6214250922203064,0,0,0
ANGPT2,NTRK2,0,0,0,0,0,0,0,0,0.6289404630661011
ANGPT1,NTRK2,0,0,0,0,0,0,0,0,1.1309916973114014
ANGPT4,NTRK2,0,0,0,0,0,0,0,0,0.9350173473358154
BDNF,NTRK2,0,0,0,0,0,0,0,0,0.6469594240188599
EREG,NTRK2,0,0,0,0,0,0,0,0,0
VEGFD,NTRK2,0,0,0,0,0,0,0,0,0.7199591398239136
FGF5,NTRK2,0,0,0.5835093855857849,0,0,0,0,0,0
FGF23,NTRK2,0,0,0,0,0,0,0,0,0
PGF,NTRK2,0,0,0,0,0,0,0,0,0.972916841506958
BDNF,GRIN2A,0,0,0,0,0,0,0,0,0.08404079079627991
ANXA1,GRIN2A,0,0,0.05393379181623459,0,0,0,0,0,0.09377401322126389
IFNG,GRIA1,0,0,0,0,0,0.24988512694835663,0,0,0
BDNF,GRIA1,0,0,0,0,0,0,0,0,0.2340637743473053
NTS,GRIA1,0,0,0,0,0,0,0,0,0
LGALS9,PTPRC,0,0,0,0,0.37373146414756775,0,0,0.37841692566871643,0
LGALS1,PTPRC,0,0,0,0,0.37682199478149414,0,0,0.8230724334716797,0
NID1,PTPRF,0,0,0,0,0,0,0.9363788366317749,0,0
CD80,CTLA4,0,0,0,0,0,0,0,0,0
CD8A,LAT,0,0,0,0,0.1706002950668335,0,0,0,0
TLN1,ITGB1,0,0,0,0.29659587144851685,0,0.28345173597335815,0,0,0
