cluster_1,,Epithelium,Epithelium,Epithelium,Other,Other,Other,Stroma,Stroma,Stroma
cluster_2,,Epithelium,Other,Stroma,Epithelium,Other,Stroma,Epithelium,Other,Stroma
source,target,,,,,,,,,
RGS2,TRPV6,0,0,0,0.03746229037642479,0,0,0,0,0
IGF1,NTRK2,0,0,0,0,0,0,0,0,1.644167184829712
EGF,NTRK2,0,0,0,0,0,0,0,0,0
NGF,NTRK2,0,0,0.8461297154426575,0,0,0,0,0,1.0282187461853027
CSF1,NTRK2,0,0,0.7786303162574768,0,0,1.1121773719787598,0,0,1.003875732421875
HGF,NTRK2,0,0,0,0,0,0.7842238545417786,0,0,0.9358862042427063
AREG,NTRK2,0,0,1.1399041414260864,0,0,0.8782541751861572,0,0,0
PDGFA,NTRK2,0,0,0.808050274848938,0,0,0,0,0,0.8445393443107605
PDGFB,NTRK2,0,0,0.811059832572937,0,0,0.8151742219924927,0,0,0
ANGPT2,NTRK2,0,0,0,0,0,0.8133137226104736,0,0,0.8480445146560669
ANGPT1,NTRK2,0,0,0,0,0,0,0,0,0.9724028706550598
ANGPT4,NTRK2,0,0,0,0,0,0,0,0,1.2117624282836914
BDNF,NTRK2,0,0,0.8433082103729248,0,0,0,0,0,0.9503811597824097
EREG,NTRK2,0,0,0,0,0,0,0,0,0.9926536083221436
VEGFD,NTRK2,0,0,0,0,0,0,0,0,1.3962042331695557
FGF5,NTRK2,0,0,0,0,0,0,0,0,0
FGF23,NTRK2,0,0,0,0,0,0,0,0,0.8134588003158569
PGF,NTRK2,0,0,0,0,0,0,0,0,1.0013236999511719
BDNF,GRIN2A,0,0,0.08652946352958679,0,0,0,0,0,0.19360247254371643
ANXA1,GRIN2A,0,0,0.2602905035018921,0,0,0,0,0,0
IFNG,GRIA1,0,0,0,0,0,0,0,0,0
BDNF,GRIA1,0,0,0.14613428711891174,0,0,0,0,0,0.2532072961330414
NTS,GRIA1,0,0,0,0,0,0.09792488068342209,0,0,0.08709906041622162
LGALS9,PTPRC,0,0,0,0,0.16310729086399078,0,0,0.20492471754550934,0
LGALS1,PTPRC,0,0,0,0,0,0,0,0.9486337900161743,0
NID1,PTPRF,0,0,0,0,0,0,1.3769276142120361,0,0
CD80,CTLA4,0,0,0,0,0,0,0,0,0
