cluster_1,,Epithelium,Epithelium,Epithelium,Other,Other,Other,Stroma,Stroma,Stroma
cluster_2,,Epithelium,Other,Stroma,Epithelium,Other,Stroma,Epithelium,Other,Stroma
source,target,,,,,,,,,
RGS2,TRPV6,,,,0.0,,,,,
IGF1,NTRK2,,,,,,,,,0.0
EGF,NTRK2,,,,,,,,,
NGF,NTRK2,,,0.0,,,,,,0.0
CSF1,NTRK2,,,0.0,,,0.0,,,0.0
HGF,NTRK2,,,,,,0.0,,,0.0
AREG,NTRK2,,,0.0,,,0.0,,,
PDGFA,NTRK2,,,0.0,,,,,,0.0
PDGFB,NTRK2,,,0.0,,,0.0,,,
ANGPT2,NTRK2,,,,,,0.0,,,0.0
ANGPT1,NTRK2,,,,,,,,,0.0
ANGPT4,NTRK2,,,,,,,,,0.0
BDNF,NTRK2,,,0.0,,,,,,0.0
EREG,NTRK2,,,,,,,,,0.0
VEGFD,NTRK2,,,,,,,,,0.0
FGF5,NTRK2,,,,,,,,,
FGF23,NTRK2,,,,,,,,,0.0
PGF,NTRK2,,,,,,,,,0.0
BDNF,GRIN2A,,,0.0,,,,,,0.0
ANXA1,GRIN2A,,,0.0,,,,,,
IFNG,GRIA1,,,,,,,,,
BDNF,GRIA1,,,0.0,,,,,,0.0
NTS,GRIA1,,,,,,0.0,,,0.0
LGALS9,PTPRC,,,,,0.0,,,0.0,
LGALS1,PTPRC,,,,,,,,0.0,
NID1,PTPRF,,,,,,,0.0,,
CD80,CTLA4,,,,,,,,,
CD8A,LAT,,,,,,,,,
TLN1,ITGB1,,,,,,,,,0.0
CSF2,ITGB1,,,,,,,,,
HGF,ITGB1,,,,,,0.0,,,0.0
ANGPT1,ITGB1,,,,,,,,,0.0
MDK,ITGB1,,,,,,,,,0.0
FLT4,ITGB1,,,,,,0.0,,,
CXCL12,ITGB1,,,,,,,,,0.0
VEGFD,ITGB1,,,,,,,,,0.0
RELN,ITGB1,,,,,,,,,
VTN,ITGB1,,,,,,,,,0.0
SEMA7A,ITGB1,,,0.0,,,0.0,,,
THBS1,ITGB1,,,,,,0.0,,,0.0
THBS2,ITGB1,,,,,,,,,0.0
VWF,ITGB1,,,0.0,,,0.0,,,
VCAM1,ITGB1,,,,,,,,,0.0
VCAN,ITGB1,,,,,,,,,0.0
