cluster_1,,Epithelium,Epithelium,Epithelium,Other,Other,Other,Stroma,Stroma,Stroma
cluster_2,,Epithelium,Other,Stroma,Epithelium,Other,Stroma,Epithelium,Other,Stroma
source,target,,,,,,,,,
RGS2,TRPV6,0,0,0,0.13626402616500854,0.10921972244977951,0,0,0,0
IGF1,NTRK2,0,0,0,0,0,0,0,0,1.2568246126174927
EGF,NTRK2,0,0,0,0,0,0,0,0,0
NGF,NTRK2,0,0,0,0,0,0,0,0,0.3608052134513855
CSF1,NTRK2,0,0,0,0,0,0,0,0,0.45456236600875854
HGF,NTRK2,0,0,0,0,0,0,0,0,1.0710012912750244
AREG,NTRK2,0,0,0,0,0,0,0,0,0
PDGFA,NTRK2,0,0,0.6189002990722656,0,0,0.33010968565940857,0,0,0.3157013952732086
PDGFB,NTRK2,0,0,0,0,0,0.3830776512622833,0,0,0
ANGPT2,NTRK2,0,0,0,0,0,0.3455757796764374,0,0,0.40765517950057983
ANGPT1,NTRK2,0,0,0.34282422065734863,0,0,0,0,0,0.7364308834075928
ANGPT4,NTRK2,0,0,0,0,0,0,0,0,0.5115698575973511
BDNF,NTRK2,0,0,0,0,0,0,0,0,0.39765119552612305
EREG,NTRK2,0,0,0.3667638599872589,0,0,0,0,0,0
VEGFD,NTRK2,0,0,0,0,0,0,0,0,0.3963710367679596
FGF5,NTRK2,0,0,0,0,0,0,0,0,0.3163803815841675
FGF23,NTRK2,0,0,0,0,0,0,0,0,0
PGF,NTRK2,0,0,0,0,0,0,0,0,0.689375638961792
BDNF,GRIN2A,0,0,0,0,0,0,0,0,0.17125186324119568
ANXA1,GRIN2A,0,0,0.25635892152786255,0,0,0,0,0,0.18613862991333008
IFNG,GRIA1,0,0,0,0,0,0.3942524790763855,0,0,0
BDNF,GRIA1,0,0,0,0,0,0,0,0,0.32954391837120056
NTS,GRIA1,0,0,0,0,0,0,0,0,0
LGALS9,PTPRC,0,0,0,0,0,0,0,0,0
LGALS1,PTPRC,0,0,0,0,0,0,0,0.8430547714233398,0
NID1,PTPRF,0,0,0,0,0,0,0.9847965240478516,0,0
CD80,CTLA4,0,0,0,0,0,0,0,0,0
CD8A,LAT,0,0,0,0,0,0,0,0,0
