cluster_1,,immune,immune,stroma,stroma
cluster_2,,immune,stroma,immune,stroma
source,target,,,,
RGS2,TRPV6,0,0.15489529073238373,0,0
IGF1,NTRK2,0,0,0,1.3541799783706665
EGF,NTRK2,0,0,0,0
NGF,NTRK2,0,0,0,0.6356467008590698
CSF1,NTRK2,0,0,0,0
HGF,NTRK2,0,0,0,0.5712021589279175
AREG,NTRK2,0,0,0,0
PDGFA,NTRK2,0,0,0,0
PDGFB,NTRK2,0,0.5527817010879517,0,0
ANGPT2,NTRK2,0,0,0,0.5128705501556396
ANGPT1,NTRK2,0,0,0,0.7240809202194214
ANGPT4,NTRK2,0,0,0,0.6456809043884277
BDNF,NTRK2,0,0,0,0.5101855397224426
EREG,NTRK2,0,0,0,0
VEGFD,NTRK2,0,0,0,0.8386335372924805
FGF5,NTRK2,0,0,0,0
FGF23,NTRK2,0,0,0,0
PGF,NTRK2,0,0,0,0.7819314002990723
BDNF,GRIN2A,0,0,0,0.041006602346897125
ANXA1,GRIN2A,0,0,0,0.04730839282274246
IFNG,GRIA1,0,0,0,0
BDNF,GRIA1,0,0,0,0
NTS,GRIA1,0,0,0,0
LGALS9,PTPRC,0,0,0,0
LGALS1,PTPRC,0.5312413573265076,0,0.9739700555801392,0
NID1,PTPRF,0,0,0,0
CD80,CTLA4,0,0,0,0
CD8A,LAT,0,0,0,0
TLN1,ITGB1,0.16518224775791168,0.22524160146713257,0,0
CSF2,ITGB1,0.06954510509967804,0.12960447371006012,0,0
HGF,ITGB1,0,0,0.09272408485412598,0.15278345346450806
ANGPT1,ITGB1,0,0,0.24560286104679108,0.30566221475601196
MDK,ITGB1,0,0,0.43285924196243286,0.49291861057281494
FLT4,ITGB1,0,0,0,0
CXCL12,ITGB1,0,0,0.6112957000732422,0.6713550686836243
VEGFD,ITGB1,0,0,0.36015552282333374,0.4202148914337158
RELN,ITGB1,0,0,0,0
VTN,ITGB1,0,0,0.6185054779052734,0.6785648465156555
SEMA7A,ITGB1,0,0,0,0
THBS1,ITGB1,0,0,0,0
THBS2,ITGB1,0,0,0.22706197202205658,0.28712132573127747
VWF,ITGB1,0,0,0,0
VCAM1,ITGB1,0,0,0.30756670236587524,0.3676260709762573
VCAN,ITGB1,0,0,0.22897982597351074,0.2890391945838928
LGALS1,ITGB1,0.1433136761188507,0.2033730447292328,0.5860424041748047,0.6461017727851868
LAMB1,ITGB1,0,0,0.34098514914512634,0.4010445177555084
LAMA4,ITGB1,0,0,0.25111448764801025,0.31117382645606995
LAMC2,ITGB1,0,0,0,0
NID1,ITGB1,0,0,0.5221915245056152,0.5822508931159973
TNC,ITGB1,0,0,0.3419000208377838,0.4019593894481659
LUM,ITGB1,0,0,0.86474609375,0.9248054623603821
TFF2,ITGB1,0,0,0,0
TFF1,ITGB1,0,0,0,0
COL6A3,ITGB1,0,0,0.5976483225822449,0.657707691192627
LAMA3,ITGB1,0,0,0,0
FBLN1,ITGB1,0,0,0.8097841143608093,0.8698434829711914
ICAM4,ITGB1,0,0,0.06401264667510986,0.12407200038433075
LAMC3,ITGB1,0,0,0.49451744556427,0.5545768141746521
SPP1,ITGB1,0,0,0,0
LAMA2,ITGB1,0,0,0.7324191331863403,0.7924785017967224
CHAD,ITGB1,0.08204721659421921,0.1421065777540207,0,0
SPON2,ITGB1,0,0,0.2647676467895508,0.3248269855976105
COL6A6,ITGB1,0,0,0,0
THBS4,ITGB1,0,0,0.09690040349960327,0.15695977210998535
WISP1,ITGB1,0,0,0.1919233798980713,0.25198274850845337
CSF3,PLAUR,0,0,0,0
IL1B,PLAUR,0,0,0,0
KNG1,PLAUR,0,0,0,0
VTN,PLAUR,0,0,0,0
IGLC1,FCGR2B,0,0,0,0
CD80,CD3E,0,0,0,0
IL12B,CD3E,0,0,0,0
IGF1,APP,0,0,0,0.9462440013885498
CD40LG,APP,0,0.15038767457008362,0,0
IAPP,APP,0,0,0,0
IL18,APP,0,0,0,0
APOE,APP,0,0,0,0.12069346755743027
SPON1,APP,0,0,0,0.26272469758987427
KDR,PECAM1,0,0,0,0
IGF1,PDGFRB,0,0,0,1.4038504362106323
KIT,PDGFRB,0,0,0,0
EGF,PDGFRB,0,0,0,0
NGF,PDGFRB,0,0,0,0.6853171586990356
CSF1,PDGFRB,0,0,0,0
HGF,PDGFRB,0,0,0,0.6208726167678833
AREG,PDGFRB,0,0,0,0
PDGFA,PDGFRB,0,0,0,0
PDGFB,PDGFRB,0,0.6024522185325623,0,0
ANGPT2,PDGFRB,0,0,0,0.5625410676002502
