source,target,aspect_intercell_source,aspect_intercell_target,category_intercell_source,category_intercell_target,category_source_intercell_source,category_source_intercell_target,consensus_direction,consensus_inhibition,consensus_score_intercell_source,consensus_score_intercell_target,consensus_stimulation,curation_effort,database_intercell_source,database_intercell_target,dip_url,entity_type_intercell_source,entity_type_intercell_target,is_inhibition,is_stimulation,n_primary_sources,n_references,n_sources,parent_intercell_source,parent_intercell_target,plasma_membrane_peripheral_intercell_source,plasma_membrane_peripheral_intercell_target,plasma_membrane_transmembrane_intercell_source,plasma_membrane_transmembrane_intercell_target,receiver_intercell_source,receiver_intercell_target,references,references_stripped,scope_intercell_source,scope_intercell_target,secreted_intercell_source,secreted_intercell_target,sources,transmitter_intercell_source,transmitter_intercell_target,type,uniprot_intercell_source,uniprot_intercell_target
RGS2,TRPV6,functional,functional,ligand,receptor,resource_specific,resource_specific,True,True,1,1,False,1,talklr;connectomeDB2020;Matrisome;iTALK;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;CellChatDB;CellTalkDB;Ramilowski2015;Kirouac2010;DGIdb;LRdb;Baccin2019;SignaLink_function;OmniPath,connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Baccin2019;OmniPath,,protein,protein,True,False,1,1,1,ligand,receptor,False,False,False,False,False,True,TRIP:16895908,16895908,generic,generic,False,False,TRIP,True,False,post_translational,P41220,Q9H1D0
IGF1,NTRK2,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,18,15,True,1,talklr;connectomeDB2020;Matrisome;iTALK;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellChatDB;CellTalkDB;Ramilowski2015;Guide2Pharma;LRdb;SignaLink_function;OmniPath,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;Baccin2019;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P05019,Q16620
EGF,NTRK2,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,17,15,True,1,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;HGNC;HPMR;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;Baccin2019;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,True,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P01133,Q16620
NGF,NTRK2,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,18,15,True,1,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;GO_Intercell;HPMR;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;Baccin2019;OmniPath,,protein,protein,False,True,2,1,2,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR;Wang,True,False,post_translational,P01138,Q16620
CSF1,NTRK2,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,17,15,True,1,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;HPMR;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,True,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P09603,Q16620
HGF,NTRK2,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,16,15,True,1,,connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P14210,Q16620
AREG,NTRK2,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,17,15,True,1,,connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,True,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P15514,Q16620
PDGFA,NTRK2,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,16,15,True,1,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P04085,Q16620
PDGFB,NTRK2,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,17,15,True,1,,iTALK;CellCellInteractions;HGNC;HPMR;CellTalkDB;Surfaceome;LRdb;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P01127,Q16620
ANGPT2,NTRK2,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,12,15,True,1,,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;GO_Intercell;HPMR;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,O15123,Q16620
