cluster_1,,immune,immune,stroma,stroma
cluster_2,,immune,stroma,immune,stroma
source,target,,,,
RGS2,TRPV6,0,0,0,0
IGF1,NTRK2,0,0,0,1.3596241474151611
EGF,NTRK2,0,0,0,0
NGF,NTRK2,0,0,0,0.7792550325393677
CSF1,NTRK2,0,0,0,0.7104830145835876
HGF,NTRK2,0,0,0,1.261502981185913
AREG,NTRK2,0,0,0,0
PDGFA,NTRK2,0,0,0,1.1066592931747437
PDGFB,NTRK2,0,0.9051985740661621,0,0
ANGPT2,NTRK2,0,0,0,0.9270802736282349
ANGPT1,NTRK2,0,0,0,1.01762855052948
ANGPT4,NTRK2,0,0,0,0.7685106992721558
BDNF,NTRK2,0,0,0,0.6949267983436584
EREG,NTRK2,0,0,0,0
VEGFD,NTRK2,0,0,0,0.73164963722229
FGF5,NTRK2,0,0,0,0
FGF23,NTRK2,0,0,0,0
PGF,NTRK2,0,0,0,1.0595130920410156
BDNF,GRIN2A,0,0,0,0.08441419899463654
ANXA1,GRIN2A,0,0,0,0
IFNG,GRIA1,0,0.11623193323612213,0,0
BDNF,GRIA1,0,0,0,0.10702575743198395
NTS,GRIA1,0,0,0,0.06879021227359772
LGALS9,PTPRC,0,0,0.6054810285568237,0
LGALS1,PTPRC,0.5791481733322144,0,1.0178451538085938,0
NID1,PTPRF,0,0,0,0
CD80,CTLA4,0,0,0,0
CD8A,LAT,0,0,0,0
TLN1,ITGB1,0,0.856032133102417,0,0.6991479992866516
CSF2,ITGB1,0,0.5879996418952942,0,0
HGF,ITGB1,0,0,0,1.1320455074310303
ANGPT1,ITGB1,0,0,0,0.8881710767745972
MDK,ITGB1,0,0,0,1.1525049209594727
FLT4,ITGB1,0,0,0,0
CXCL12,ITGB1,0,0,0,0.8696433901786804
VEGFD,ITGB1,0,0,0,0.602192223072052
RELN,ITGB1,0,0,0,0
VTN,ITGB1,0,0,0,1.3973948955535889
SEMA7A,ITGB1,0,0,0,0
THBS1,ITGB1,0,0,0,0.625644862651825
THBS2,ITGB1,0,0,0,0.552747368812561
VWF,ITGB1,0,0,0,0
VCAM1,ITGB1,0,0,0,0.6465871334075928
VCAN,ITGB1,0,0,0,0.8178706765174866
LGALS1,ITGB1,0,0.5548160672187805,0,0.9935131072998047
LAMB1,ITGB1,0,0,0,1.4977216720581055
LAMA4,ITGB1,0,0,0,0.9209908246994019
LAMC2,ITGB1,0,0,0,0
NID1,ITGB1,0,0,0,1.4773499965667725
TNC,ITGB1,0,0,0,0.6422637104988098
LUM,ITGB1,0,0,0,0.879731297492981
TFF2,ITGB1,0,0,0,0
TFF1,ITGB1,0,0,0,0
COL6A3,ITGB1,0,0,0,1.147615671157837
LAMA3,ITGB1,0,0,0,0
FBLN1,ITGB1,0,0,0,0.9159866571426392
ICAM4,ITGB1,0,0.5274688005447388,0,0
LAMC3,ITGB1,0,0,0,1.53836989402771
SPP1,ITGB1,0,0,0,0
LAMA2,ITGB1,0,0,0,1.85049307346344
CHAD,ITGB1,0,0.5339664816856384,0,0
SPON2,ITGB1,0,0,0,0.6285610795021057
COL6A6,ITGB1,0,0,0,0.6518126726150513
THBS4,ITGB1,0,0,0,0
WISP1,ITGB1,0,0,0,0.5828050374984741
CSF3,PLAUR,0,0,0,0
IL1B,PLAUR,0,0,0,0
KNG1,PLAUR,0,0,0,0
VTN,PLAUR,0,0,0,0
IGLC1,FCGR2B,0,0,0,0
CD80,CD3E,0.17184212803840637,0,0,0
IL12B,CD3E,0,0,0,0
IGF1,APP,0,0,0,1.0030547380447388
CD40LG,APP,0,0.3538298010826111,0,0
IAPP,APP,0,0,0,0.3087172508239746
IL18,APP,0,0.3705344796180725,0,0
APOE,APP,0,0,0,0
SPON1,APP,0,0,0,0.6117690801620483
KDR,PECAM1,0,0,0,0
IGF1,PDGFRB,0,0,0,1.9763315916061401
KIT,PDGFRB,0,0,0,1.2753551006317139
EGF,PDGFRB,0,0,0,0
NGF,PDGFRB,0,0,0,1.3959623575210571
CSF1,PDGFRB,0,0,0,1.3271903991699219
HGF,PDGFRB,0,0,0,1.8782103061676025
AREG,PDGFRB,0,0,0,0
PDGFA,PDGFRB,0,0,0,1.7233667373657227
PDGFB,PDGFRB,0,1.5219060182571411,0,0
ANGPT2,PDGFRB,0,0,0,1.5437877178192139
ANGPT1,PDGFRB,0,0,0,1.6343358755111694
ANGPT4,PDGFRB,0,0,0,1.3852180242538452
BDNF,PDGFRB,0,0,0,1.3116341829299927
EREG,PDGFRB,0,0,0,0
VEGFD,PDGFRB,0,0,0,1.3483569622039795
