cluster_1,,immune,immune,stroma,stroma
cluster_2,,immune,stroma,immune,stroma
source,target,,,,
RGS2,TRPV6,0,0,0,0
IGF1,NTRK2,0,0,0,1.2226371765136719
EGF,NTRK2,0,0,0,0
NGF,NTRK2,0,0,0,0.8784926533699036
CSF1,NTRK2,0,0,0,0.9162902235984802
HGF,NTRK2,0,0,0,1.1763120889663696
AREG,NTRK2,0,0,0,0
PDGFA,NTRK2,0,0,0,0.7546404004096985
PDGFB,NTRK2,0,0.6999404430389404,0,0
ANGPT2,NTRK2,0,0,0,0.7663285732269287
ANGPT1,NTRK2,0,0,0,1.1769739389419556
ANGPT4,NTRK2,0,0,0,1.1262574195861816
BDNF,NTRK2,0,0,0,0.716654896736145
EREG,NTRK2,0,0,0,0
VEGFD,NTRK2,0,0,0,1.0041760206222534
FGF5,NTRK2,0,0,0,0
FGF23,NTRK2,0,0,0,0
PGF,NTRK2,0,0,0,0.937809944152832
BDNF,GRIN2A,0,0,0,0.03954227268695831
ANXA1,GRIN2A,0,0,0,0.021804913878440857
IFNG,GRIA1,0,0.3779909312725067,0,0
BDNF,GRIA1,0,0,0,0.27378222346305847
NTS,GRIA1,0,0,0,0
LGALS9,PTPRC,0,0,0.6563193798065186,0
LGALS1,PTPRC,0.6944617033004761,0,1.0942190885543823,0
NID1,PTPRF,0,0,0,0
CD80,CTLA4,0,0,0,0
CD8A,LAT,0.4447454810142517,0,0,0
TLN1,ITGB1,0.5751221776008606,0.868022084236145,0.3640103340148926,0.6569103002548218
CSF2,ITGB1,0,0,0,0
HGF,ITGB1,0,0,0.6826668977737427,0.9755668640136719
ANGPT1,ITGB1,0,0,0.6833288073539734,0.9762287139892578
MDK,ITGB1,0,0,0.6425046324729919,0.9354045391082764
FLT4,ITGB1,0,0,0,0
CXCL12,ITGB1,0,0,0.7212904691696167,1.014190435409546
VEGFD,ITGB1,0,0,0.5105308890342712,0.8034307956695557
RELN,ITGB1,0,0,0.19721321761608124,0.49011316895484924
VTN,ITGB1,0,0,0.5483102798461914,0.8412102460861206
SEMA7A,ITGB1,0,0,0,0
THBS1,ITGB1,0,0,0.4517054557800293,0.7446054220199585
THBS2,ITGB1,0,0,0.2619965076446533,0.5548964738845825
VWF,ITGB1,0,0,0,0
VCAM1,ITGB1,0,0,0.6159674525260925,0.908867359161377
VCAN,ITGB1,0,0,1.0444566011428833,1.3373565673828125
LGALS1,ITGB1,0.256499707698822,0.5493996739387512,0.6562570929527283,0.9491570591926575
LAMB1,ITGB1,0,0,1.0193055868148804,1.3122055530548096
LAMA4,ITGB1,0,0,0.7421493530273438,1.035049319267273
LAMC2,ITGB1,0,0,0,0
NID1,ITGB1,0,0,1.0463309288024902,1.3392308950424194
TNC,ITGB1,0,0,0.26797598600387573,0.5608759522438049
LUM,ITGB1,0,0,0.8597257733345032,1.1526256799697876
TFF2,ITGB1,0,0,0,0
TFF1,ITGB1,0,0,0,0
COL6A3,ITGB1,0,0,0.6938976645469666,0.986797571182251
LAMA3,ITGB1,0,0,0,0
FBLN1,ITGB1,0,0,0.8626431226730347,1.1555430889129639
ICAM4,ITGB1,0,0,0,0
LAMC3,ITGB1,0,0,1.303951382637024,1.5968513488769531
SPP1,ITGB1,0,0,0,0
LAMA2,ITGB1,0,0,1.7577975988388062,2.0506975650787354
CHAD,ITGB1,0,0,0,0
SPON2,ITGB1,0,0,0.22325827181339264,0.5161582231521606
COL6A6,ITGB1,0,0,0.4011506736278534,0.6940506100654602
THBS4,ITGB1,0,0,0,0
WISP1,ITGB1,0.19534261524677277,0.48824256658554077,0.4271181523799896,0.7200180888175964
CSF3,PLAUR,0,0,0,0
IL1B,PLAUR,0,0,0,0
KNG1,PLAUR,0,0,0,0
VTN,PLAUR,0,0,0,0
IGLC1,FCGR2B,0,0,0,0
CD80,CD3E,0,0,0,0
IL12B,CD3E,0,0,0,0
IGF1,APP,0,0,0,0.8328503370285034
CD40LG,APP,0,0.37309521436691284,0,0
IAPP,APP,0,0,0,0.30902960896492004
IL18,APP,0,0,0,0.5126688480377197
APOE,APP,0,0,0,0
SPON1,APP,0,0,0,0.8135183453559875
KDR,PECAM1,0,0,0,0
IGF1,PDGFRB,0,0,0,1.1920955181121826
KIT,PDGFRB,0,0.6901682019233704,0,0
EGF,PDGFRB,0,0,0,0
NGF,PDGFRB,0,0,0,0.8479509949684143
CSF1,PDGFRB,0,0,0,0.885748565196991
HGF,PDGFRB,0,0,0,1.1457704305648804
AREG,PDGFRB,0,0,0,0
PDGFA,PDGFRB,0,0,0,0.7240987420082092
