cluster_1,,immune,immune,stroma,stroma
cluster_2,,immune,stroma,immune,stroma
source,target,,,,
RGS2,TRPV6,,,,
IGF1,NTRK2,,,,0.0
EGF,NTRK2,,,,
NGF,NTRK2,,,,0.0
CSF1,NTRK2,,,,0.0
HGF,NTRK2,,,,0.0
AREG,NTRK2,,,,
PDGFA,NTRK2,,,,0.0
PDGFB,NTRK2,,0.0,,
ANGPT2,NTRK2,,,,0.0
ANGPT1,NTRK2,,,,0.0
ANGPT4,NTRK2,,,,0.0
BDNF,NTRK2,,,,0.0
EREG,NTRK2,,,,
VEGFD,NTRK2,,,,0.0
FGF5,NTRK2,,,,
FGF23,NTRK2,,,,
PGF,NTRK2,,,,0.0
BDNF,GRIN2A,,,,
ANXA1,GRIN2A,,,,
IFNG,GRIA1,,0.0,,
BDNF,GRIA1,,,,0.0
NTS,GRIA1,,,,
LGALS9,PTPRC,,,0.0,
LGALS1,PTPRC,0.0,,0.0,
NID1,PTPRF,,,,
CD80,CTLA4,,,,
CD8A,LAT,0.0,,,
TLN1,ITGB1,1.0,0.0,1.0,0.2551283422459893
CSF2,ITGB1,,,,
HGF,ITGB1,,,0.0,0.0
ANGPT1,ITGB1,,,0.0,0.0
MDK,ITGB1,,,0.0,0.0
FLT4,ITGB1,,,,
CXCL12,ITGB1,,,0.0,0.0
VEGFD,ITGB1,,,0.0,0.0
RELN,ITGB1,,,1.0,0.0
VTN,ITGB1,,,0.0,0.0
SEMA7A,ITGB1,,,,
THBS1,ITGB1,,,0.0,0.0
THBS2,ITGB1,,,0.05108713692946058,0.0
VWF,ITGB1,,,,
VCAM1,ITGB1,,,0.0,0.0
VCAN,ITGB1,,,0.0,0.0
LGALS1,ITGB1,1.0,0.0,0.0,0.0
LAMB1,ITGB1,,,0.0,0.0
LAMA4,ITGB1,,,0.0,0.0
LAMC2,ITGB1,,,,
NID1,ITGB1,,,0.0,0.0
TNC,ITGB1,,,0.0320625,0.0
LUM,ITGB1,,,0.0,0.0
TFF2,ITGB1,,,,
TFF1,ITGB1,,,,
COL6A3,ITGB1,,,0.0,0.0
LAMA3,ITGB1,,,,
FBLN1,ITGB1,,,0.0,0.0
ICAM4,ITGB1,,,,
LAMC3,ITGB1,,,0.0,0.0
SPP1,ITGB1,,,,
LAMA2,ITGB1,,,0.0,0.0
CHAD,ITGB1,,,,
SPON2,ITGB1,,,0.15262809917355374,0.0
COL6A6,ITGB1,,,0.0,0.0
THBS4,ITGB1,,,,
WISP1,ITGB1,1.0,0.0,0.0,0.0
CSF3,PLAUR,,,,
IL1B,PLAUR,,,,
KNG1,PLAUR,,,,
VTN,PLAUR,,,,
IGLC1,FCGR2B,,,,
CD80,CD3E,,,,
IL12B,CD3E,,,,
IGF1,APP,,,,0.0
CD40LG,APP,,0.0,,
IAPP,APP,,,,0.0
IL18,APP,,,,0.0
APOE,APP,,,,
SPON1,APP,,,,0.0
KDR,PECAM1,,,,
IGF1,PDGFRB,,,,0.0
KIT,PDGFRB,,0.0,,
EGF,PDGFRB,,,,
NGF,PDGFRB,,,,0.0
CSF1,PDGFRB,,,,0.0
HGF,PDGFRB,,,,0.0
AREG,PDGFRB,,,,
PDGFA,PDGFRB,,,,0.0
PDGFB,PDGFRB,,0.0,,
ANGPT2,PDGFRB,,,,0.0
ANGPT1,PDGFRB,,,,0.0
ANGPT4,PDGFRB,,,,0.0
BDNF,PDGFRB,,,,0.0
EREG,PDGFRB,,,,
VEGFD,PDGFRB,,,,0.0
FGF5,PDGFRB,,,,
FGF23,PDGFRB,,,,
PGF,PDGFRB,,,,0.0
MFGE8,PDGFRB,,,,0.0
CD80,CD28,,,,
IL2,CD28,0.0,,,
IL12A,CD28,,,,
CD8A,CD28,0.0,,,
CD80,CD3G,,,,
GZMA,F2R,1.0,0.0,,
PRSS2,F2R,1.0,0.0,,
IGF1,KIT,,,0.0,
EGF,KIT,,,,
NGF,KIT,,,0.0,
CSF1,KIT,,,0.0,
HGF,KIT,,,0.0,
AREG,KIT,,,,
PDGFA,KIT,,,0.0,
PDGFB,KIT,0.0,,,
ANGPT2,KIT,,,0.0,
ANGPT1,KIT,,,0.0,
ANGPT4,KIT,,,0.0,
BDNF,KIT,,,0.0,
EREG,KIT,,,,
VEGFD,KIT,,,0.0,
FGF5,KIT,,,,
FGF23,KIT,,,,
PGF,KIT,,,0.0,
SAA1,CD36,,,,
THBS1,CD36,,,0.0,
THBS2,CD36,,,0.0,
S100A8,CD36,,,,
S100A9,CD36,,,,
THBS4,CD36,,,,
KIT,CSF2RB,,,,
