cluster_1,,immune,immune,stroma,stroma
cluster_2,,immune,stroma,immune,stroma
source,target,,,,
RGS2,TRPV6,0,0,0,0
IGF1,NTRK2,0,0,0,0.8705239295959473
EGF,NTRK2,0,0,0,0
NGF,NTRK2,0,0,0,0.5014232993125916
CSF1,NTRK2,0,0,0,0.3930964171886444
HGF,NTRK2,0,0,0,1.118067979812622
AREG,NTRK2,0,0,0,0
PDGFA,NTRK2,0,0,0,0
PDGFB,NTRK2,0,0.41938090324401855,0,0
ANGPT2,NTRK2,0,0,0,0
ANGPT1,NTRK2,0,0,0,1.872114896774292
ANGPT4,NTRK2,0,0,0,0.4973926544189453
BDNF,NTRK2,0,0,0,0.32983267307281494
EREG,NTRK2,0,0,0,0
VEGFD,NTRK2,0,0,0,0.336078941822052
FGF5,NTRK2,0,0,0,0
FGF23,NTRK2,0,0,0,0
PGF,NTRK2,0,0,0,1.1829049587249756
BDNF,GRIN2A,0,0,0,0.12299783527851105
ANXA1,GRIN2A,0,0,0,0.2941533923149109
IFNG,GRIA1,0,0.2154284119606018,0,0
BDNF,GRIA1,0,0,0,0.04583960026502609
NTS,GRIA1,0,0,0,0.017609726637601852
LGALS9,PTPRC,0,0,0.40385138988494873,0
LGALS1,PTPRC,0,0,0.9526900053024292,0
NID1,PTPRF,0,0,0,0
CD80,CTLA4,0,0,0,0
CD8A,LAT,0,0,0,0
TLN1,ITGB1,0.09733667969703674,0.17878112196922302,0,0
CSF2,ITGB1,0.1064448356628418,0.18788927793502808,0,0
HGF,ITGB1,0,0,0.8862559199333191,0.9677003622055054
ANGPT1,ITGB1,0,0,1.6403028964996338,1.7217472791671753
MDK,ITGB1,0,0,1.143833875656128,1.2252782583236694
FLT4,ITGB1,0,0,0,0
CXCL12,ITGB1,0,0,0.5210239887237549,0.6024684906005859
VEGFD,ITGB1,0,0,0.10426691174507141,0.1857113540172577
RELN,ITGB1,0,0,0,0
VTN,ITGB1,0,0,1.0290089845657349,1.1104533672332764
SEMA7A,ITGB1,0,0,0,0
THBS1,ITGB1,0,0,0,0
THBS2,ITGB1,0,0,0,0
VWF,ITGB1,0,0,0,0
VCAM1,ITGB1,0,0,0.4960746169090271,0.5775190591812134
VCAN,ITGB1,0,0,0.7375736832618713,0.8190181255340576
LGALS1,ITGB1,0,0,0.7588586211204529,0.8403030633926392
LAMB1,ITGB1,0,0,0.9254583120346069,1.0069026947021484
LAMA4,ITGB1,0,0,0.24833321571350098,0.32977765798568726
LAMC2,ITGB1,0,0,0,0
NID1,ITGB1,0,0,0.7658971548080444,0.8473415970802307
TNC,ITGB1,0,0,0,0
LUM,ITGB1,0,0,0.6477047204971313,0.7291491627693176
TFF2,ITGB1,0,0,0,0
TFF1,ITGB1,0,0,0,0
COL6A3,ITGB1,0,0,0.2030019313097,0.2844463586807251
LAMA3,ITGB1,0,0,0,0
FBLN1,ITGB1,0,0,0.600784182548523,0.6822286248207092
ICAM4,ITGB1,0,0,0,0
LAMC3,ITGB1,0,0,1.4124045372009277,1.4938489198684692
SPP1,ITGB1,0,0,0,0
LAMA2,ITGB1,0,0,1.4533417224884033,1.5347862243652344
CHAD,ITGB1,0,0,0,0
SPON2,ITGB1,0,0,0.21424655616283417,0.29569101333618164
COL6A6,ITGB1,0,0,0.2400941550731659,0.3215385973453522
THBS4,ITGB1,0,0,0,0
WISP1,ITGB1,0.07914639264345169,0.16059084236621857,0,0
CSF3,PLAUR,0,0,0,0
IL1B,PLAUR,0,0,0,0
KNG1,PLAUR,0,0,0,0
VTN,PLAUR,0,0,0,0
IGLC1,FCGR2B,0,0,0,0
CD80,CD3E,0,0,0,0
IL12B,CD3E,0,0,0,0
IGF1,APP,0,0,0,0.5757404565811157
CD40LG,APP,0,0.14632447063922882,0,0
IAPP,APP,0,0,0,0.01580539159476757
IL18,APP,0,0,0,0.1626315414905548
APOE,APP,0,0,0,0.3573167026042938
SPON1,APP,0,0,0,0.050976965576410294
KDR,PECAM1,0,0,0,0
IGF1,PDGFRB,0,0,0,1.6724777221679688
KIT,PDGFRB,0,1.1227422952651978,0,0
EGF,PDGFRB,0,0,0,0
NGF,PDGFRB,0,0,0,1.3033771514892578
CSF1,PDGFRB,0,0,0,1.1950502395629883
HGF,PDGFRB,0,0,0,1.9200217723846436
AREG,PDGFRB,0,0,0,0
PDGFA,PDGFRB,0,0,0,0
PDGFB,PDGFRB,0,1.22133469581604,0,0
ANGPT2,PDGFRB,0,0,0,0
ANGPT1,PDGFRB,0,0,0,2.6740686893463135
