cluster_1,,immune,immune,stroma,stroma
cluster_2,,immune,stroma,immune,stroma
source,target,,,,
RGS2,TRPV6,0,0,0,0
IGF1,NTRK2,0,0,0,1.891676425933838
EGF,NTRK2,0,0,0,0
NGF,NTRK2,0,0,0,1.197166919708252
CSF1,NTRK2,0,0,0,1.7954654693603516
HGF,NTRK2,0,0,0,1.1053457260131836
AREG,NTRK2,0,0,0,0
PDGFA,NTRK2,0,0,0,0
PDGFB,NTRK2,0,0.7939823269844055,0,0
ANGPT2,NTRK2,0,0,0,0.8081589341163635
ANGPT1,NTRK2,0,0,0,1.1497483253479004
ANGPT4,NTRK2,0,0,0,1.2251402139663696
BDNF,NTRK2,0,0,0,0.8372418880462646
EREG,NTRK2,0,0,0,0
VEGFD,NTRK2,0,0,0,1.613102674484253
FGF5,NTRK2,0,0,0,0
FGF23,NTRK2,0,0,0,0
PGF,NTRK2,0,0,0,1.1544865369796753
BDNF,GRIN2A,0,0,0,0.13131476938724518
ANXA1,GRIN2A,0,0,0,0.27265727519989014
IFNG,GRIA1,0,0.3709844648838043,0,0
BDNF,GRIA1,0,0,0,0.22685480117797852
NTS,GRIA1,0,0,0,0
LGALS9,PTPRC,0.48385030031204224,0,0.4997193515300751,0
LGALS1,PTPRC,0,0,0.8618091940879822,0
NID1,PTPRF,0,0,0,0
CD80,CTLA4,0,0,0,0
CD8A,LAT,0,0,0,0
TLN1,ITGB1,0.34143155813217163,0.4667132496833801,0,0
CSF2,ITGB1,0.11839335411787033,0.24367505311965942,0.03796987980604172,0.163251593708992
HGF,ITGB1,0,0,0.3773688077926636,0.5026504993438721
ANGPT1,ITGB1,0,0,0.42177140712738037,0.5470530986785889
MDK,ITGB1,0,0,0.1859188675880432,0.3112005591392517
FLT4,ITGB1,0,0,0,0
CXCL12,ITGB1,0,0,0.8073897957801819,0.9326714873313904
VEGFD,ITGB1,0,0,0.8851256966590881,1.0104074478149414
RELN,ITGB1,0,0,0,0
VTN,ITGB1,0,0,0.4059135317802429,0.5311952233314514
SEMA7A,ITGB1,0,0,0,0
THBS1,ITGB1,0,0,0.054589323699474335,0.17987103760242462
THBS2,ITGB1,0,0,0.13403156399726868,0.25931328535079956
VWF,ITGB1,0,0,0,0
VCAM1,ITGB1,0,0,0.46523672342300415,0.5905184149742126
VCAN,ITGB1,0,0,1.009029507637024,1.134311318397522
LGALS1,ITGB1,0,0,0.4122685194015503,0.5375502109527588
LAMB1,ITGB1,0,0,0.7083541750907898,0.8336358666419983
LAMA4,ITGB1,0,0,0.8659417033195496,0.9912233948707581
LAMC2,ITGB1,0,0,0,0
NID1,ITGB1,0,0,1.004760980606079,1.1300427913665771
TNC,ITGB1,0,0,0,0
LUM,ITGB1,0,0,1.0085504055023193,1.1338320970535278
TFF2,ITGB1,0,0,0,0
TFF1,ITGB1,0,0,0,0
COL6A3,ITGB1,0,0,0.29143112897872925,0.41671282052993774
LAMA3,ITGB1,0,0,0,0
FBLN1,ITGB1,0,0,1.19100022315979,1.316282033920288
ICAM4,ITGB1,0,0,0,0
LAMC3,ITGB1,0,0,0.29452526569366455,0.41980695724487305
SPP1,ITGB1,0,0,0,0
LAMA2,ITGB1,0,0,0.9613296389579773,1.0866113901138306
CHAD,ITGB1,0.11606033891439438,0.24134203791618347,0,0
SPON2,ITGB1,0,0,0.39522585272789,0.5205075740814209
COL6A6,ITGB1,0,0,0.5822367072105408,0.7075183987617493
THBS4,ITGB1,0,0,0,0
WISP1,ITGB1,0,0,0.15934883058071136,0.28463053703308105
CSF3,PLAUR,0,0,0,0
IL1B,PLAUR,0,0,0,0
KNG1,PLAUR,0,0,0,0
VTN,PLAUR,0,0,0,0
IGLC1,FCGR2B,0,0,0,0
CD80,CD3E,0,0,0,0
IL12B,CD3E,0,0,0,0
IGF1,APP,0,0,0,1.3605958223342896
CD40LG,APP,0,0.3837079703807831,0,0
IAPP,APP,0,0,0,0.25275593996047974
IL18,APP,0,0.22752399742603302,0,0.31994664669036865
APOE,APP,0,0,0,0.29423269629478455
SPON1,APP,0,0,0,0.24015776813030243
KDR,PECAM1,0,0,0,0
IGF1,PDGFRB,0,0,0,1.8968935012817383
KIT,PDGFRB,0,0,0,0
EGF,PDGFRB,0,0,0,0
NGF,PDGFRB,0,0,0,1.2023839950561523
CSF1,PDGFRB,0,0,0,1.800682544708252
HGF,PDGFRB,0,0,0,1.110562801361084
AREG,PDGFRB,0,0,0,0
PDGFA,PDGFRB,0,0,0,0
PDGFB,PDGFRB,0,0.7991994023323059,0,0
