cluster_1,,immune,immune,stroma,stroma
cluster_2,,immune,stroma,immune,stroma
source,target,,,,
RGS2,TRPV6,0,0,0,0
IGF1,NTRK2,0,0,0,1.5210809707641602
EGF,NTRK2,0,0,0,0
NGF,NTRK2,0,0,0,0.7532282471656799
CSF1,NTRK2,0,0,0,0.9612463712692261
HGF,NTRK2,0,0,0,1.0562883615493774
AREG,NTRK2,0,0,0,0
PDGFA,NTRK2,0,0,0,0.6467311382293701
PDGFB,NTRK2,0,0.6262034773826599,0,0
ANGPT2,NTRK2,0,0,0,0.6562435030937195
ANGPT1,NTRK2,0,0,0,1.2049400806427002
ANGPT4,NTRK2,0,0,0,0.9728191494941711
BDNF,NTRK2,0,0,0,0.6741510033607483
EREG,NTRK2,0,0,0,0
VEGFD,NTRK2,0,0,0,0.7355033159255981
FGF5,NTRK2,0,0,0,0
FGF23,NTRK2,0,0,0,0
PGF,NTRK2,0,0,0,0.9728622436523438
BDNF,GRIN2A,0,0,0,0.10055164992809296
ANXA1,GRIN2A,0,0,0,0.10924048721790314
IFNG,GRIA1,0,0.28412285447120667,0,0
BDNF,GRIA1,0,0,0,0.2545792758464813
NTS,GRIA1,0,0,0,0
LGALS9,PTPRC,0.420316219329834,0,0.43960943818092346,0
LGALS1,PTPRC,0.48838818073272705,0,0.8940345048904419,0
NID1,PTPRF,0,0,0,0
CD80,CTLA4,0,0,0,0
CD8A,LAT,0.26370298862457275,0,0,0
TLN1,ITGB1,0,0.32436472177505493,0,0
CSF2,ITGB1,0,0.16886171698570251,0,0
HGF,ITGB1,0,0,0,0.6240130066871643
ANGPT1,ITGB1,0,0,0,0.7726647853851318
MDK,ITGB1,0,0,0,0.6029660105705261
FLT4,ITGB1,0,0,0,0
CXCL12,ITGB1,0,0,0,0.5681750774383545
VEGFD,ITGB1,0,0,0,0.303227961063385
RELN,ITGB1,0,0,0,0
VTN,ITGB1,0,0,0,0.6851596832275391
SEMA7A,ITGB1,0,0,0,0
THBS1,ITGB1,0,0,0,0.2710856795310974
THBS2,ITGB1,0,0,0,0.17185671627521515
VWF,ITGB1,0,0,0,0
VCAM1,ITGB1,0,0,0,0.5645599961280823
VCAN,ITGB1,0,0,0,0.9513149261474609
LGALS1,ITGB1,0,0.2613496482372284,0,0.6669960021972656
LAMB1,ITGB1,0,0,0,0.814882755279541
LAMA4,ITGB1,0,0,0,0.5285730361938477
LAMC2,ITGB1,0,0,0,0
NID1,ITGB1,0,0,0,0.7774851322174072
TNC,ITGB1,0,0,0,0.2583605647087097
LUM,ITGB1,0,0,0,0.7145743370056152
TFF2,ITGB1,0,0,0,0
TFF1,ITGB1,0,0,0,0
COL6A3,ITGB1,0,0,0,0.45533502101898193
LAMA3,ITGB1,0,0,0,0
FBLN1,ITGB1,0,0,0,0.9540867805480957
ICAM4,ITGB1,0,0,0,0
LAMC3,ITGB1,0,0,0,0.9703246355056763
SPP1,ITGB1,0,0,0,0
LAMA2,ITGB1,0,0,0,1.2950654029846191
CHAD,ITGB1,0,0.2448141872882843,0,0
SPON2,ITGB1,0,0,0,0.31652817130088806
COL6A6,ITGB1,0,0,0,0.2884743809700012
THBS4,ITGB1,0,0,0,0
WISP1,ITGB1,0,0,0,0.2707032263278961
CSF3,PLAUR,0,0,0,0
IL1B,PLAUR,0,0,0,0
KNG1,PLAUR,0,0,0,0
VTN,PLAUR,0,0,0,0
IGLC1,FCGR2B,0,0,0,0
CD80,CD3E,0,0,0,0
IL12B,CD3E,0,0,0,0
IGF1,APP,0,0,0,1.0414773225784302
CD40LG,APP,0,0.17353640496730804,0,0
IAPP,APP,0,0,0,0.1252371072769165
IL18,APP,0,0,0,0.1296558976173401
APOE,APP,0,0,0,0.1944229006767273
SPON1,APP,0,0,0,0.346214234828949
KDR,PECAM1,0,0,0,0
IGF1,PDGFRB,0,0,0,1.927948236465454
KIT,PDGFRB,0,1.091536521911621,0,0
EGF,PDGFRB,0,0,0,0
NGF,PDGFRB,0,0,0,1.160095453262329
CSF1,PDGFRB,0,0,0,1.3681135177612305
HGF,PDGFRB,0,0,0,1.4631555080413818
AREG,PDGFRB,0,0,0,0
PDGFA,PDGFRB,0,0,0,1.053598403930664
PDGFB,PDGFRB,0,1.033070683479309,0,0
ANGPT2,PDGFRB,0,0,0,1.0631107091903687
ANGPT1,PDGFRB,0,0,0,1.6118073463439941
ANGPT4,PDGFRB,0,0,0,1.3796863555908203
BDNF,PDGFRB,0,0,0,1.0810182094573975
EREG,PDGFRB,0,0,0,0
VEGFD,PDGFRB,0,0,0,1.1423704624176025
