cluster_1,,immune,immune,stroma,stroma
cluster_2,,immune,stroma,immune,stroma
source,target,,,,
RGS2,TRPV6,0,0,0,0
IGF1,NTRK2,0,0,0,0.957010805606842
EGF,NTRK2,0,0,0,0
NGF,NTRK2,0,0.6209908127784729,0,0
CSF1,NTRK2,0,0,0,0.9743948578834534
HGF,NTRK2,0,0,0,0.9717386364936829
AREG,NTRK2,0,0.5891252160072327,0,0
PDGFA,NTRK2,0,0,0,0.7115117311477661
PDGFB,NTRK2,0,0,0,0
ANGPT2,NTRK2,0,0,0,0.5724175572395325
ANGPT1,NTRK2,0,0,0,0.902380108833313
ANGPT4,NTRK2,0,0,0,0.6631485223770142
BDNF,NTRK2,0,0,0,0.8058061599731445
EREG,NTRK2,0,0.5827496647834778,0,0.8119465708732605
VEGFD,NTRK2,0,0,0,0.74061119556427
FGF5,NTRK2,0,0,0,0
FGF23,NTRK2,0,0,0,0
PGF,NTRK2,0,0,0,0.865023672580719
BDNF,GRIN2A,0,0,0,0
ANXA1,GRIN2A,0,0,0,0
IFNG,GRIA1,0,0,0,0
BDNF,GRIA1,0,0,0,0
NTS,GRIA1,0,0,0,0
LGALS9,PTPRC,0.14457005262374878,0,0.21180662512779236,0
LGALS1,PTPRC,0.35671287775039673,0,0.5601561069488525,0
NID1,PTPRF,0,0,0,0
CD80,CTLA4,0,0,0,0
CD8A,LAT,0.802474856376648,0,0,0
TLN1,ITGB1,0,0,0,0.42330390214920044
CSF2,ITGB1,0,0,0,0
HGF,ITGB1,0,0,0,0.7943947315216064
ANGPT1,ITGB1,0,0,0,0.7250361442565918
MDK,ITGB1,0,0,0,0.7315568923950195
FLT4,ITGB1,0,0,0,0
CXCL12,ITGB1,0,0,0,0.9198087453842163
VEGFD,ITGB1,0,0,0,0.5632672309875488
RELN,ITGB1,0,0,0,0.38765326142311096
VTN,ITGB1,0,0,0,0.9196925163269043
SEMA7A,ITGB1,0,0,0,0
THBS1,ITGB1,0,0.39472678303718567,0,0.6816067695617676
THBS2,ITGB1,0,0,0,0.7221181392669678
VWF,ITGB1,0,0,0,0
VCAM1,ITGB1,0,0,0,1.074670433998108
VCAN,ITGB1,0,0,0,1.0397295951843262
LGALS1,ITGB1,0,0.6358650922775269,0,0.8393083810806274
LAMB1,ITGB1,0,0,0,1.0740617513656616
LAMA4,ITGB1,0,0,0,0.9079993963241577
LAMC2,ITGB1,0,0.3879859447479248,0,0
NID1,ITGB1,0,0,0,1.3572860956192017
TNC,ITGB1,0,0,0,0.5840214490890503
LUM,ITGB1,0,0,0,0.8840216398239136
TFF2,ITGB1,0,0,0,0
TFF1,ITGB1,0,0.3962651491165161,0,0
COL6A3,ITGB1,0,0,0,0.7018826007843018
LAMA3,ITGB1,0,0.3873317539691925,0,0
FBLN1,ITGB1,0,0,0,1.203374981880188
ICAM4,ITGB1,0,0,0,0.4025591313838959
LAMC3,ITGB1,0,0,0,0.9839025735855103
SPP1,ITGB1,0,0.5373619198799133,0,0
LAMA2,ITGB1,0,0,0,1.618425965309143
CHAD,ITGB1,0,0,0,0
SPON2,ITGB1,0,0,0,0
COL6A6,ITGB1,0,0,0,0.627270519733429
THBS4,ITGB1,0,0,0,0
WISP1,ITGB1,0,0,0,0.6541071534156799
CSF3,PLAUR,0.3553497791290283,0,0,0
IL1B,PLAUR,0.3077963888645172,0,0,0
KNG1,PLAUR,0,0,0,0
VTN,PLAUR,0,0,0.8333558440208435,0
IGLC1,FCGR2B,0,0,0,0
CD80,CD3E,0,0,0,0
IL12B,CD3E,0.3752850890159607,0,0,0
IGF1,APP,0,0,0,0.7645668983459473
CD40LG,APP,0,0.36434343457221985,0,0
IAPP,APP,0,0,0,0.37711846828460693
IL18,APP,0,0,0,0
APOE,APP,0,0.6649598479270935,0,0.39859506487846375
SPON1,APP,0,0,0,0.8009068965911865
KDR,PECAM1,0,0,0,0
IGF1,PDGFRB,0,0,0,1.5140459537506104
KIT,PDGFRB,0,1.1387947797775269,0,0
EGF,PDGFRB,0,0,0,0
NGF,PDGFRB,0,1.1780258417129517,0,0
CSF1,PDGFRB,0,0,0,1.5314300060272217
HGF,PDGFRB,0,0,0,1.5287737846374512
AREG,PDGFRB,0,1.146160364151001,0,0
PDGFA,PDGFRB,0,0,0,1.2685468196868896
PDGFB,PDGFRB,0,0,0,0
ANGPT2,PDGFRB,0,0,0,1.1294527053833008
ANGPT1,PDGFRB,0,0,0,1.4594151973724365
ANGPT4,PDGFRB,0,0,0,1.2201836109161377
BDNF,PDGFRB,0,0,0,1.362841248512268
