cluster_1,,immune,immune,stroma,stroma
cluster_2,,immune,stroma,immune,stroma
source,target,,,,
RGS2,TRPV6,0,0,0,0
IGF1,NTRK2,0,0,0,1.246095895767212
EGF,NTRK2,0,0,0,0
NGF,NTRK2,0,0,0,0.33802223205566406
CSF1,NTRK2,0,0,0,0.44932088255882263
HGF,NTRK2,0,0,0,1.100451111793518
AREG,NTRK2,0,0,0,0
PDGFA,NTRK2,0,0,0,0
PDGFB,NTRK2,0,0.3604462742805481,0,0
ANGPT2,NTRK2,0,0,0,0.39160144329071045
ANGPT1,NTRK2,0,0,0,0.7237330675125122
ANGPT4,NTRK2,0,0,0,0.5129954814910889
BDNF,NTRK2,0,0,0,0.37107688188552856
EREG,NTRK2,0,0,0,0
VEGFD,NTRK2,0,0,0,0.3950418531894684
FGF5,NTRK2,0,0,0,0.3085784316062927
FGF23,NTRK2,0,0,0,0
PGF,NTRK2,0,0,0,0.666246235370636
BDNF,GRIN2A,0,0,0,0.16645395755767822
ANXA1,GRIN2A,0,0,0,0.19656109809875488
IFNG,GRIA1,0,0.5065147280693054,0,0
BDNF,GRIA1,0,0,0,0.32409393787384033
NTS,GRIA1,0,0,0,0
LGALS9,PTPRC,0,0,0,0
LGALS1,PTPRC,0,0,1.089146614074707,0
NID1,PTPRF,0,0,0,0
CD80,CTLA4,0,0,0,0
CD8A,LAT,0.31652921438217163,0,0,0
TLN1,ITGB1,0.324065625667572,0.5138311982154846,0.13624045252799988,0.3260060250759125
CSF2,ITGB1,0.09120504558086395,0.28097060322761536,0,0
HGF,ITGB1,0,0,0.882305383682251,1.0720709562301636
ANGPT1,ITGB1,0,0,0.5055873394012451,0.6953529119491577
MDK,ITGB1,0,0,0.30063170194625854,0.49039727449417114
FLT4,ITGB1,0,0,0,0
CXCL12,ITGB1,0,0,0.6844267249107361,0.8741922974586487
VEGFD,ITGB1,0,0,0.1768961250782013,0.3666616976261139
RELN,ITGB1,0,0,0,0
VTN,ITGB1,0,0,0.5112892389297485,0.7010548114776611
SEMA7A,ITGB1,0,0,0,0
THBS1,ITGB1,0,0,0.11702732741832733,0.3067929148674011
THBS2,ITGB1,0,0,0,0
VWF,ITGB1,0,0,0,0
VCAM1,ITGB1,0,0,0.3207171559333801,0.5104827284812927
VCAN,ITGB1,0,0,0.6984007954597473,0.8881663680076599
LGALS1,ITGB1,0,0,0.6835479736328125,0.8733135461807251
LAMB1,ITGB1,0,0,1.000502109527588,1.1902676820755005
LAMA4,ITGB1,0,0,0.4211703836917877,0.6109359264373779
LAMC2,ITGB1,0,0,0,0
NID1,ITGB1,0,0,0.6933137774467468,0.8830793499946594
TNC,ITGB1,0,0,0,0
LUM,ITGB1,0,0,0.3387129008769989,0.5284785032272339
TFF2,ITGB1,0,0,0,0
TFF1,ITGB1,0,0,0,0
COL6A3,ITGB1,0,0,0.21303680539131165,0.40280237793922424
LAMA3,ITGB1,0,0,0,0
FBLN1,ITGB1,0,0,0.5189158916473389,0.7086814641952515
ICAM4,ITGB1,0,0,0.08544335514307022,0.2752089202404022
LAMC3,ITGB1,0,0,1.583547830581665,1.773313283920288
SPP1,ITGB1,0,0,0,0
LAMA2,ITGB1,0,0,1.4636650085449219,1.653430700302124
CHAD,ITGB1,0.1072230190038681,0.2969885766506195,0,0
SPON2,ITGB1,0,0,0.10039863735437393,0.29016420245170593
COL6A6,ITGB1,0,0,0.1598009169101715,0.3495664894580841
THBS4,ITGB1,0,0,0,0
WISP1,ITGB1,0,0,0.12704575061798096,0.31681132316589355
CSF3,PLAUR,0,0,0,0
IL1B,PLAUR,0,0,0,0
KNG1,PLAUR,0,0,0,0
VTN,PLAUR,0,0,0,0
IGLC1,FCGR2B,0,0,0,0
CD80,CD3E,0,0,0,0
IL12B,CD3E,0,0,0,0
IGF1,APP,0,0,0,1.0745981931686401
CD40LG,APP,0,0.19933968782424927,0,0
IAPP,APP,0,0,0,0.1380423903465271
IL18,APP,0,0,0,0.1374133974313736
APOE,APP,0,0,0,0
SPON1,APP,0,0,0,0.44813013076782227
KDR,PECAM1,0,0,0,0
IGF1,PDGFRB,0,0,0,1.5647833347320557
KIT,PDGFRB,0,0,0,0
EGF,PDGFRB,0,0,0,0
NGF,PDGFRB,0,0,0,0.6567096710205078
CSF1,PDGFRB,0,0,0,0.7680083513259888
HGF,PDGFRB,0,0,0,1.4191385507583618
AREG,PDGFRB,0,0,0,0
PDGFA,PDGFRB,0,0,0,0
PDGFB,PDGFRB,0,0.6791337132453918,0,0
ANGPT2,PDGFRB,0,0,0,0.7102888822555542
